PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
B. Brown,6,42.34,12.17,23.0,53%,1.67,5.5,30%,8.83,12.5,71%,3.67,2.83,3.17,4.5,13.17,17.67,3.0,6.67,-4.67,34.83,PHX
G. Johnson,4,41.51,12.5,30.75,41%,4.5,11.5,39%,4.5,8.5,53%,6.5,2.25,0.75,2.5,5.5,8.0,4.25,8.0,-14.75,34.0,COL
G. Rice Jr.,8,37.73,11.5,26.63,43%,3.13,10.38,30%,6.75,9.25,73%,4.88,3.0,1.5,2.75,8.5,11.25,2.63,5.38,5.38,32.88,TNT
L. Henton,11,41.81,10.18,24.09,42%,2.91,8.82,33%,4.82,5.55,87%,2.36,1.64,2.09,3.09,8.64,11.73,1.82,3.55,-4.45,28.09,ALA
A. Durham,11,39.58,10.36,21.36,49%,0.82,1.82,45%,6.27,9.0,70%,7.09,0.55,1.18,6.09,13.27,19.36,2.36,2.82,11.82,27.82,MER
E. Phelps,5,40.86,10.6,22.0,48%,0.2,0.4,50%,6.2,11.4,54%,3.4,0.2,1.4,4.4,11.6,16.0,2.0,3.8,1.0,27.6,PHX
W. Walker,8,44.33,9.13,23.5,39%,3.25,10.13,32%,6.0,8.5,71%,5.0,2.13,1.38,2.25,14.5,16.75,3.13,3.88,-0.13,27.5,BWE
M. Holloway,9,42.05,11.44,21.56,53%,0.89,2.89,31%,3.44,6.89,50%,3.56,2.78,2.78,4.11,14.56,18.67,3.22,4.56,-4.67,27.22,GLO
M. Cummings,7,40.28,11.0,21.43,51%,0.43,1.57,27%,4.57,7.14,64%,2.86,1.0,0.43,3.0,5.43,8.43,3.29,5.14,-12.0,27.0,COL
W. McKines,5,37.64,10.4,20.2,51%,0.4,1.0,40%,5.0,8.6,58%,4.4,1.2,1.4,6.2,8.0,14.2,3.6,3.2,5.2,26.2,SMB
M. Hill,7,38.09,8.86,21.29,42%,1.86,6.71,28%,6.43,7.57,85%,3.0,2.0,0.57,2.71,9.0,11.71,3.0,4.0,3.71,26.0,MAG
A. Maliksi,2,31.65,8.5,17.0,50%,1.5,4.5,33%,7.0,9.0,78%,1.0,0.5,0.0,0.5,6.0,6.5,3.0,1.5,-6.0,25.5,BWE
A. Fuller,11,39.23,9.91,18.82,53%,0.36,1.18,31%,4.0,5.91,68%,1.55,1.55,1.73,6.82,11.91,18.73,2.55,2.73,0.64,24.18,NLX
J. Brownlee,11,39.67,8.91,19.27,46%,2.27,6.55,35%,2.45,4.09,60%,4.91,1.73,2.09,2.0,9.55,11.55,2.09,3.18,5.73,22.55,GIN
T. Watson,4,36.87,8.75,17.0,51%,0.5,1.5,33%,4.0,6.25,64%,3.5,1.25,2.5,6.25,6.75,13.0,2.75,4.0,1.5,22.0,SMB
M. Craig Jr.,3,35.57,9.33,20.0,47%,0.67,2.67,25%,2.33,3.0,78%,6.67,1.33,1.0,3.0,13.67,16.67,5.0,7.0,13.67,21.67,TNT
J. Bullock,8,36.66,7.75,17.75,44%,2.5,7.25,34%,3.5,5.25,67%,3.38,1.5,0.63,2.88,7.0,9.88,2.13,2.88,8.38,21.5,ROS
J. Weatherspoon,3,43.12,8.67,19.0,46%,0.33,3.67,9%,3.67,7.67,48%,2.0,1.0,1.67,5.33,9.33,14.67,1.33,3.33,-2.0,21.33,ROS
S. Pringle,9,38.81,7.0,15.67,45%,2.44,5.78,42%,2.56,3.22,79%,3.33,0.56,0.33,1.22,4.67,5.89,1.78,3.0,-1.67,19.0,GLO
J. Fajardo,10,30.65,7.1,12.0,59%,0.1,0.1,100%,4.2,5.8,72%,1.7,0.9,2.0,3.8,6.8,10.6,1.4,2.7,4.1,18.5,SMB
T. Romeo,9,30.91,6.67,17.33,38%,2.67,9.0,30%,2.44,2.89,85%,5.11,0.56,0.0,0.44,2.11,2.56,1.78,4.44,-5.33,18.44,GLO
A. Santos,11,29.81,6.55,13.73,48%,3.0,7.27,41%,1.45,2.55,57%,1.64,0.73,1.82,2.09,4.36,6.45,2.64,1.36,5.91,17.55,SMB
W. Castro,10,29.37,6.3,11.1,57%,1.7,4.1,41%,2.7,3.6,75%,4.8,1.2,0.6,0.2,3.7,3.9,1.9,2.6,7.0,17.0,TNT
