PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
B. Brown,6,254.04,73,138,53%,10,33,30%,53,75,71%,22,17,19,27,79,106,18,40,-28,209,PHX
G. Johnson,4,166.05,50,123,41%,18,46,39%,18,34,53%,26,9,3,10,22,32,17,32,-59,136,COL
G. Rice Jr.,8,301.81,92,213,43%,25,83,30%,54,74,73%,39,24,12,22,68,90,21,43,43,263,TNT
L. Henton,11,459.88,112,265,42%,32,97,33%,53,61,87%,26,18,23,34,95,129,20,39,-49,309,ALA
A. Durham,11,435.37,114,235,49%,9,20,45%,69,99,70%,78,6,13,67,146,213,26,31,130,306,MER
E. Phelps,5,204.32,53,110,48%,1,2,50%,31,57,54%,17,1,7,22,58,80,10,19,5,138,PHX
W. Walker,8,354.63,73,188,39%,26,81,32%,48,68,71%,40,17,11,18,116,134,25,31,-1,220,BWE
M. Holloway,9,378.48,103,194,53%,8,26,31%,31,62,50%,32,25,25,37,131,168,29,41,-42,245,GLO
M. Cummings,7,281.99,77,150,51%,3,11,27%,32,50,64%,20,7,3,21,38,59,23,36,-84,189,COL
W. McKines,5,188.22,52,101,51%,2,5,40%,25,43,58%,22,6,7,31,40,71,18,16,26,131,SMB
M. Hill,7,266.65,62,149,42%,13,47,28%,45,53,85%,21,14,4,19,63,82,21,28,26,182,MAG
A. Maliksi,2,63.3,17,34,50%,3,9,33%,14,18,78%,2,1,0,1,12,13,6,3,-12,51,BWE
A. Fuller,11,431.57,109,207,53%,4,13,31%,44,65,68%,17,17,19,75,131,206,28,30,7,266,NLX
J. Brownlee,11,436.36,98,212,46%,25,72,35%,27,45,60%,54,19,23,22,105,127,23,35,63,248,GIN
T. Watson,4,147.46,35,68,51%,2,6,33%,16,25,64%,14,5,10,25,27,52,11,16,6,88,SMB
M. Craig Jr.,3,106.71,28,60,47%,2,8,25%,7,9,78%,20,4,3,9,41,50,15,21,41,65,TNT
J. Bullock,8,293.28,62,142,44%,20,58,34%,28,42,67%,27,12,5,23,56,79,17,23,67,172,ROS
J. Weatherspoon,3,129.35,26,57,46%,1,11,9%,11,23,48%,6,3,5,16,28,44,4,10,-6,64,ROS
S. Pringle,9,349.25,63,141,45%,22,52,42%,23,29,79%,30,5,3,11,42,53,16,27,-15,171,GLO
J. Fajardo,10,306.54,71,120,59%,1,1,100%,42,58,72%,17,9,20,38,68,106,14,27,41,185,SMB
T. Romeo,9,278.19,60,156,38%,24,81,30%,22,26,85%,46,5,0,4,19,23,16,40,-48,166,GLO
A. Santos,11,327.87,72,151,48%,33,80,41%,16,28,57%,18,8,20,23,48,71,29,15,65,193,SMB
W. Castro,10,293.68,63,111,57%,17,41,41%,27,36,75%,48,12,6,2,37,39,19,26,70,170,TNT
K. Acox,3,107.81,22,42,52%,0,0,0%,7,16,44%,8,5,3,16,27,43,8,8,30,51,MAG
T. Simpson,3,75.4,17,41,41%,0,7,0%,15,19,79%,4,3,0,3,14,17,2,3,-32,49,BWE
