PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
O. Ashaolu,1,30.03,9.0,18.0,50%,2.0,3.0,67%,11.0,16.0,69%,1.0,0.0,0.0,2.0,10.0,12.0,4.0,7.0,-16.0,31.0,NLX
A. Moultrie,9,35.96,12.0,22.33,54%,0.0,0.11,0%,5.89,7.22,82%,3.33,1.44,1.44,4.56,10.11,14.67,3.11,3.44,-4.22,29.89,NLX
E. Phelps,7,41.86,10.57,22.86,46%,0.0,1.29,0%,8.71,15.14,58%,6.29,1.0,2.0,5.14,12.86,18.0,2.71,4.14,-1.57,29.86,PHX
R. Balkman,9,39.79,11.67,20.89,56%,0.0,0.33,0%,6.11,9.33,65%,4.44,2.11,2.89,3.22,10.0,13.22,4.0,5.33,2.44,29.44,SMB
J. Fields,8,39.27,9.63,15.88,61%,0.0,0.0,0%,9.88,13.75,72%,3.5,1.0,2.0,7.0,12.13,19.13,2.5,4.25,-8.63,29.13,COL
J. Famous,6,38.24,9.0,17.0,53%,0.0,0.33,0%,8.33,12.17,68%,1.67,0.67,1.5,6.5,11.83,18.33,2.33,5.33,-12.5,26.33,BWE
J. Brownlee,7,37.98,10.29,23.0,45%,1.29,6.0,21%,4.43,5.29,84%,6.43,1.71,1.0,3.0,9.86,12.86,2.0,4.29,12.29,26.29,GIN
J. White,4,32.81,9.25,18.0,51%,0.0,0.25,0%,6.75,10.5,64%,2.25,1.75,2.5,4.75,8.5,13.25,5.0,2.0,5.5,25.25,PHX
V. Manuel,11,21.96,10.36,17.82,58%,0.09,0.18,50%,3.36,4.18,80%,0.91,0.82,0.64,1.18,5.18,6.36,2.0,2.09,6.18,24.18,ALA
W. Chism,2,36.89,8.5,17.0,50%,3.5,7.5,47%,3.5,4.5,78%,3.5,1.5,2.0,4.0,7.0,11.0,4.0,4.5,14.5,24.0,MAG
M. White,11,33.24,10.27,19.0,54%,0.0,0.0,0%,3.18,5.55,57%,1.36,0.64,2.0,3.36,7.55,10.91,3.55,3.45,-4.18,23.73,GLO
R. Johnson,11,35.27,8.0,16.82,48%,1.0,4.73,21%,6.18,8.55,72%,3.91,0.82,1.45,5.36,11.82,17.18,3.18,4.0,6.64,23.18,ROS
A. Campbell,10,31.69,8.3,18.6,45%,2.7,7.2,38%,3.3,4.4,75%,2.0,1.2,1.5,2.9,11.9,14.8,3.6,3.0,1.3,22.6,ALA
S. Pringle,11,37.22,7.91,17.82,44%,2.55,7.91,32%,2.64,3.18,83%,5.73,1.73,0.27,1.0,4.55,5.55,2.09,3.82,-1.73,21.0,GLO
