PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Fajardo,10,3.68,8.3,13.0,64%,0.0,0.0,0%,6.2,9.5,65%,1.8,0.6,2.1,5.0,8.3,13.3,1.7,3.4,5.9,22.8,SMB
S. Pringle,11,0.45,7.73,18.36,42%,2.91,8.82,33%,1.82,3.0,61%,4.64,1.45,0.0,1.73,6.0,7.73,1.91,3.18,2.18,20.18,GLO
T. Romeo,1,0.0,8.0,18.0,44%,1.0,7.0,14%,3.0,3.0,100%,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,12.0,20.0,GLO
J. Aguilar,11,1.16,7.18,14.64,49%,0.27,1.55,18%,4.64,6.18,75%,2.73,0.55,1.36,2.27,5.82,8.09,3.0,3.27,3.09,19.27,GIN
M. Wright,11,2.69,6.45,17.27,37%,2.0,6.36,31%,3.0,4.09,73%,3.82,1.82,0.0,1.27,4.55,5.82,2.82,2.64,-2.73,17.91,PHX
A. Cabagnot,5,6.92,7.0,17.8,39%,1.8,6.4,28%,2.0,3.6,56%,4.2,0.6,0.2,0.6,5.8,6.4,1.6,1.6,4.0,17.8,SMB
P. Lee,8,0.0,6.13,12.5,49%,2.75,6.25,44%,2.38,2.88,83%,2.75,1.13,0.5,0.38,2.63,3.0,1.88,1.38,11.75,17.38,MAG
J. Cruz,2,0.0,6.5,12.0,54%,3.5,6.5,54%,0.5,1.0,50%,3.0,2.0,0.5,1.0,2.0,3.0,3.0,5.5,7.5,17.0,TNT
M. Lassiter,11,3.34,6.18,16.55,37%,2.91,8.18,36%,1.55,1.91,81%,3.18,1.18,1.0,1.55,4.0,5.55,2.09,2.27,5.45,16.82,SMB
G. Slaughter,7,0.0,6.29,13.14,48%,0.0,0.14,0%,4.14,6.29,66%,3.29,0.14,1.71,3.86,6.57,10.43,1.43,2.43,7.86,16.71,GIN
A. Santos,11,3.22,6.45,15.18,43%,2.73,8.18,33%,0.82,1.45,56%,2.91,1.45,2.0,1.64,8.82,10.45,2.09,2.18,3.73,16.45,SMB
S. Anthony,11,0.2,5.73,13.82,41%,1.91,5.36,36%,2.73,4.0,68%,4.0,2.0,0.64,3.09,5.55,8.64,2.55,3.36,3.64,16.09,GLO
M. Belo,10,0.0,6.0,14.8,41%,1.6,5.2,31%,2.2,3.3,67%,1.7,1.6,0.7,1.8,4.3,6.1,1.1,1.6,2.5,15.8,BWE
W. Castro,12,0.0,5.58,13.5,41%,1.5,3.92,38%,2.92,4.17,70%,5.17,1.92,0.75,0.75,4.92,5.67,1.58,3.0,2.08,15.58,TNT
K. Ravena,11,0.0,5.36,12.27,44%,1.18,3.45,34%,3.55,4.45,80%,5.36,1.91,0.18,0.09,3.36,3.45,2.18,2.09,-0.55,15.45,NLX
L. Tenorio,11,1.36,4.91,13.27,37%,2.73,6.91,39%,2.27,2.55,89%,5.18,1.73,0.27,1.27,3.0,4.27,1.91,3.45,2.64,14.82,GIN
