PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Brownlee,11,501.48,151,276,55%,37,91,41%,56,79,71%,63,29,24,16,134,150,18,32,66,395,GIN
C. McCullough,4,151.2,47,104,45%,10,32,31%,31,46,67%,11,5,9,12,44,56,13,27,36,135,SMB
T. Jones,11,475.88,124,260,48%,33,86,38%,90,149,60%,85,16,34,34,143,177,36,57,152,371,TNT
D. Bowles,9,355.93,94,172,55%,8,35,23%,64,108,59%,39,7,12,26,80,106,24,43,49,260,ROS
D. James,3,127.83,30,64,47%,10,25,40%,15,20,75%,24,5,3,1,22,23,8,12,-1,85,MER
T. Mitchell,6,216.08,62,116,53%,8,29,28%,32,53,60%,16,6,9,18,58,76,17,21,-63,164,NLX
K. Barone,4,160.72,38,80,48%,11,25,44%,21,34,62%,12,5,6,23,37,60,3,9,-7,108,COL
G. Lawal,7,277.02,80,144,56%,0,7,0%,24,53,45%,10,8,7,56,94,150,23,33,-26,184,MER
C. Rhodes,7,264.8,73,137,53%,4,18,22%,32,45,71%,19,6,17,29,67,96,23,31,-47,182,SMB
O. Ashaolu,3,107.6,27,52,52%,1,9,11%,19,34,56%,14,4,1,8,37,45,11,13,11,74,NLX
J. Perez,11,437.33,100,194,52%,19,51,37%,31,49,63%,43,20,3,25,53,78,32,27,-22,250,COL
B. Parks,11,391.12,78,191,41%,23,69,33%,67,82,82%,45,18,5,15,68,83,26,32,-3,246,BWE
A. Stepheson,6,234.38,54,100,54%,0,0,0%,25,54,46%,17,3,13,47,85,132,14,27,60,133,BWE
D. Simpson,4,162.57,39,69,57%,0,0,0%,10,20,50%,22,9,6,31,53,84,10,10,-13,88,ALA
J. Farr,9,332.12,82,182,45%,2,17,12%,31,47,66%,22,18,14,50,113,163,26,32,36,197,MAG
M. Wright,11,387.03,77,194,40%,29,73,40%,41,50,82%,53,17,1,9,35,44,27,47,-46,224,PHX
C. Banchero,11,365.02,83,189,44%,14,34,41%,30,42,71%,60,5,0,9,33,42,22,16,-27,210,ALA
C. Montgomery,2,72.48,15,31,48%,4,9,44%,4,7,57%,6,4,4,5,20,25,9,10,14,38,ROS
R. Daniels,7,230.93,47,93,51%,7,16,44%,26,41,63%,17,9,16,24,54,78,23,24,34,127,ALA
C. Washington,1,31.67,5,15,33%,2,6,33%,6,10,60%,1,0,2,4,12,16,3,2,-13,18,NLX
K. Ferrer,4,124.78,22,54,41%,14,35,40%,13,14,93%,13,5,0,6,14,20,14,2,19,71,GLO
R. Pogoy,11,377.18,73,164,45%,36,94,38%,7,11,64%,22,32,3,17,40,57,27,11,116,189,TNT
