PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Fajardo,11,376.5,88,143,62%,1,1,100%,66,90,73%,28,6,19,53,84,137,30,39,96,243,SMB
S. Anthony,11,379.82,79,177,45%,22,72,31%,48,57,84%,38,30,2,25,73,98,44,38,69,228,GLO
S. Pringle,10,368.32,76,161,47%,26,67,39%,27,33,82%,46,28,3,18,43,61,13,33,69,205,GLO
R. Pogoy,10,313.33,73,170,43%,25,72,35%,24,38,63%,13,13,1,17,59,76,32,11,25,195,TNT
M. Wright,11,365.18,66,189,35%,18,69,26%,56,62,90%,51,15,2,9,50,59,29,36,48,206,PHX
M. Tautuaa,11,389.62,80,135,59%,6,14,43%,36,59,61%,44,8,3,19,78,97,39,38,31,202,GLO
C. Standhardinger,6,162.17,44,84,52%,0,0,0%,17,26,65%,8,5,2,14,28,42,15,13,7,105,SMB
J. Aguilar,11,312.23,75,144,52%,5,10,50%,27,49,55%,19,11,15,26,57,83,18,34,24,182,GIN
A. Maliksi,11,282.85,65,145,45%,14,45,31%,37,45,82%,27,7,5,17,49,66,36,20,-73,181,BWE
J. Perez,11,352.72,65,163,40%,9,33,27%,42,58,72%,30,16,4,29,48,77,36,27,-55,181,COL
I. Sangalang,11,369.15,73,166,44%,0,0,0%,27,44,61%,30,10,18,39,67,106,32,34,62,173,MAG
T. Romeo,7,153.75,39,87,45%,10,32,31%,22,36,61%,20,5,1,3,17,20,16,16,-1,110,SMB
G. Slaughter,11,327.35,67,124,54%,0,0,0%,36,50,72%,21,5,10,27,71,98,18,27,41,170,GIN
A. Cabagnot,7,198.18,43,95,45%,12,29,41%,10,12,83%,29,12,2,6,20,26,19,14,60,108,SMB
W. Castro,11,336.27,49,127,39%,18,58,31%,53,60,88%,66,19,9,3,37,40,30,32,74,169,TNT
C. Abueva,11,287.5,53,149,36%,13,41,32%,49,75,65%,31,13,11,37,88,125,39,49,25,168,PHX
J. Rosario,8,217.45,48,92,52%,19,47,40%,4,12,33%,7,3,1,8,23,31,25,11,34,119,TNT
J. Yap,11,277.3,56,140,40%,26,65,40%,24,30,80%,20,8,0,7,26,33,17,11,71,162,ROS
M. Lassiter,11,349.95,57,131,44%,39,89,44%,8,12,67%,33,13,6,9,43,52,38,20,84,161,SMB
R. McCarthy,11,345.42,56,139,40%,26,79,33%,23,36,64%,52,14,1,8,50,58,32,36,-24,161,COL
A. Santos,10,304.85,55,143,38%,30,90,33%,6,10,60%,24,9,21,10,55,65,22,11,70,146,SMB
P. Lee,11,287.75,49,134,37%,21,72,29%,40,45,89%,38,5,1,8,46,54,26,29,50,159,MAG
