Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
GIN,23,8.52,24.70,35%,29.91,58.52,51%,38.43,83.22,46%,15.48,22.57,69%,35.61,13.30,51.00,26.74,8.30,4.39,17.96,18.78,17.96,6.17,6.91,11.48,31.04,100.87,15 , 8
SMB,23,8.04,26.30,31%,32.09,62.70,51%,40.13,89.00,45%,17.48,24.70,71%,35.04,15.78,52.70,24.39,9.09,4.96,17.26,17.26,21.00,8.22,9.09,15.30,28.48,105.78,13 , 10
ROS,17,10.94,34.82,31%,25.29,53.35,47%,36.24,88.18,41%,17.29,25.12,69%,38.94,15.71,57.18,23.29,7.29,4.12,18.47,16.76,24.88,7.59,8.29,14.29,40.12,100.71,11 , 6
ALA,16,7.69,23.19,33%,33.00,66.63,50%,40.69,89.81,45%,13.25,21.00,63%,35.50,14.31,52.50,24.00,7.50,4.44,16.13,18.75,23.63,7.00,8.00,13.56,49.38,102.31,10 , 6
TNT,13,11.62,34.00,34%,27.38,54.00,51%,39.00,88.00,44%,16.23,23.08,70%,36.54,14.31,53.38,24.38,8.38,3.31,17.85,17.15,27.00,7.38,8.08,14.62,49.08,105.85,8 , 5
MER,13,9.54,27.31,35%,26.92,52.92,51%,36.46,80.23,45%,11.46,19.08,60%,35.85,9.46,47.15,22.69,6.62,3.31,16.00,14.77,22.31,6.69,7.38,12.15,31.15,93.92,7 , 6
GLO,13,8.77,28.23,31%,31.38,60.46,52%,40.15,88.69,45%,15.62,23.92,65%,36.69,14.15,53.08,24.08,8.38,4.38,19.31,19.31,26.15,9.31,10.46,17.69,31.54,104.69,6 , 7
MAG,12,9.83,28.75,34%,26.00,55.00,47%,35.83,83.75,43%,14.75,23.08,64%,32.50,13.25,47.67,22.00,9.92,2.58,16.25,20.08,24.08,6.33,6.58,12.33,41.67,96.25,6 , 6
COL,11,10.91,35.82,30%,29.09,58.27,50%,40.00,94.09,43%,19.00,26.82,71%,32.55,14.36,48.82,22.82,9.82,3.73,18.27,22.18,25.55,13.18,14.64,24.36,33.73,109.91,4 , 7
PHX,11,8.18,26.55,31%,30.45,64.64,47%,38.64,91.18,42%,18.64,28.82,65%,35.91,17.45,55.64,24.64,9.00,4.09,18.91,21.55,27.82,8.00,9.18,14.55,34.73,104.09,4 , 7
NLX,11,8.64,27.73,31%,28.82,60.45,48%,37.45,88.18,42%,16.64,21.82,76%,35.36,12.09,49.36,27.73,7.18,4.36,16.64,14.18,21.18,8.00,8.45,13.73,46.45,100.18,2 , 9
BWE,11,8.18,26.91,30%,26.09,58.45,45%,34.27,85.36,40%,16.18,22.45,72%,33.91,13.82,49.91,20.64,8.00,4.09,20.18,17.36,21.45,8.00,8.27,15.09,31.27,92.91,1 , 10
