Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
MAG,22,7.82,23.45,33%,30.09,63.27,48%,37.91,86.73,44%,13.55,19.23,70%,34.00,15.05,49.05,22.95,10.55,2.50,16.59,20.23,24.77,7.05,7.73,12.55,34.59,97.18,16 , 6
ALA,22,8.05,25.59,31%,29.73,59.86,50%,37.77,85.45,44%,13.91,19.68,71%,34.95,14.50,49.45,23.45,7.27,3.73,15.27,17.73,24.36,6.59,7.45,11.91,34.23,97.50,14 , 8
GIN,16,7.44,23.75,31%,31.75,57.50,55%,39.19,81.25,48%,19.06,25.88,74%,36.13,12.81,48.94,27.75,7.38,4.56,18.19,17.19,17.00,6.00,6.50,11.06,28.44,104.88,11 , 5
MER,17,8.00,25.82,31%,28.53,57.24,50%,36.53,83.06,44%,15.12,21.94,69%,35.65,12.71,48.35,24.94,5.29,2.82,13.00,14.00,23.47,6.29,7.06,11.00,26.12,96.18,8 , 9
PHX,13,7.00,23.15,30%,31.00,63.54,49%,38.00,86.69,44%,20.38,34.46,59%,39.62,17.54,57.15,23.77,7.38,6.23,17.38,19.38,23.85,8.54,9.77,15.38,33.15,103.38,8 , 5
BWE,12,10.83,30.00,36%,26.58,52.83,50%,37.42,82.83,45%,19.42,27.42,71%,37.42,10.67,48.08,22.33,7.00,3.58,16.00,13.17,23.42,6.33,7.25,11.67,36.17,105.08,7 , 5
SMB,12,12.83,36.92,35%,28.00,56.83,49%,40.83,93.75,44%,14.67,21.25,69%,33.42,14.17,47.58,23.17,8.67,4.58,15.00,19.00,23.50,7.00,7.50,13.25,28.92,109.17,6 , 6
NLX,12,11.50,35.67,32%,27.08,52.75,51%,38.58,88.42,44%,14.33,20.58,70%,35.42,12.25,47.67,26.25,7.17,3.67,16.25,14.42,24.83,8.42,9.75,14.92,42.50,103.00,5 , 7
TNT,11,11.18,37.64,30%,23.64,53.27,44%,34.82,90.91,38%,17.55,26.09,67%,34.45,15.55,50.00,20.18,9.09,3.18,15.09,19.27,27.18,8.55,9.36,15.27,30.09,98.36,4 , 7
ROS,11,10.82,35.27,31%,23.00,48.45,47%,33.82,83.73,40%,17.27,26.73,65%,36.18,13.09,49.27,20.55,7.91,5.00,16.36,15.64,23.00,6.82,8.18,11.73,40.36,95.73,3 , 8
GLO,11,8.64,29.09,30%,28.91,57.00,51%,37.55,86.09,44%,16.55,22.82,73%,33.82,13.91,47.73,19.91,6.64,3.73,18.27,17.91,22.64,9.45,10.18,17.45,33.27,100.27,2 , 9
COL,11,10.36,32.82,32%,27.73,59.00,47%,38.09,91.82,41%,15.55,25.36,61%,31.73,15.45,47.18,19.82,7.73,3.09,14.82,18.36,22.27,9.45,10.45,16.73,36.91,102.09,1 , 10
