Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
SMB,22,9.50,29.45,32%,27.64,53.55,52%,37.14,83.00,45%,15.14,21.82,69%,35.32,14.50,49.82,22.14,9.05,6.36,18.64,18.23,19.18,8.64,9.73,15.09,17.50,98.91,17 , 5
MAG,23,8.61,25.09,34%,26.09,56.78,46%,34.70,81.87,42%,14.61,20.48,71%,32.70,14.96,47.65,20.26,8.74,3.70,17.26,19.00,23.26,7.57,8.30,13.26,45.00,92.61,14 , 9
NLX,19,8.89,28.00,32%,25.68,53.05,48%,34.58,81.05,43%,14.58,20.58,71%,33.84,11.32,45.16,22.79,7.21,3.58,17.16,15.74,23.58,7.58,8.79,12.37,51.26,92.63,10 , 9
GIN,18,6.78,21.39,32%,28.06,59.22,47%,34.83,80.61,43%,14.67,19.50,75%,34.89,14.89,49.78,24.61,6.72,3.67,19.83,13.22,17.61,4.72,5.22,8.56,24.56,91.11,9 , 9
ALA,13,7.54,23.15,33%,28.38,63.15,45%,35.92,86.31,42%,16.54,24.08,69%,34.77,14.46,49.23,21.69,10.08,3.85,16.46,20.15,24.77,10.77,11.92,17.92,44.54,95.92,7 , 6
ROS,13,11.38,35.23,32%,21.23,48.00,44%,32.62,83.23,39%,15.23,23.08,66%,33.62,13.08,46.69,19.46,9.15,4.77,15.92,17.54,22.08,8.46,9.23,14.38,44.00,91.85,6 , 7
TNT,13,8.92,31.23,29%,26.00,55.00,47%,34.92,86.23,40%,11.31,16.85,67%,36.00,15.23,51.23,18.31,8.54,4.00,18.31,17.08,19.69,8.31,9.62,14.92,38.08,90.08,6 , 7
BWE,11,7.45,23.00,32%,26.73,62.45,43%,34.18,85.45,40%,12.64,20.00,63%,33.18,16.09,49.27,19.18,8.36,4.55,15.18,17.64,20.73,6.64,7.91,11.55,34.09,88.45,5 , 6
GLO,12,9.17,31.50,29%,26.83,59.17,45%,36.00,90.67,40%,14.25,21.50,66%,37.83,19.00,56.83,18.83,8.25,4.92,20.17,17.08,23.00,11.00,12.50,20.17,33.92,95.42,5 , 7
PHX,12,7.08,21.75,33%,28.17,64.17,44%,35.25,85.92,41%,15.58,21.42,73%,30.83,16.92,47.75,20.92,10.42,1.92,19.58,21.50,25.08,6.50,7.25,11.67,46.00,93.17,5 , 7
MER,11,11.18,32.09,35%,21.82,47.82,46%,33.00,79.91,41%,12.09,15.82,76%,33.00,9.64,42.64,20.09,4.82,3.00,13.09,12.73,24.73,5.82,6.18,10.45,34.64,89.27,4 , 7
COL,11,9.45,30.82,31%,23.73,53.45,44%,33.18,84.27,39%,12.18,18.45,66%,31.45,12.27,43.73,15.64,7.00,5.00,18.36,16.36,25.36,6.64,7.45,12.27,40.27,88.00,1 , 10
