Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
TNT,23,12.78,38.74,33%,23.96,47.22,51%,36.74,85.96,43%,14.22,21.91,65%,34.57,13.52,48.09,20.26,8.48,5.04,15.09,18.74,23.35,6.26,7.09,12.22,20.57,100.48,16 , 7
SMB,23,10.87,31.30,35%,28.48,57.52,50%,39.35,88.83,44%,15.74,21.61,73%,33.57,14.04,47.61,22.57,7.83,5.74,15.83,18.52,21.22,7.17,7.96,13.39,29.09,105.30,14 , 9
GIN,17,8.71,26.53,33%,28.82,55.65,52%,37.53,82.18,46%,13.47,19.94,68%,34.59,11.12,45.71,25.47,7.82,4.59,16.24,16.00,18.06,6.00,7.35,10.65,20.06,97.24,10 , 7
GLO,13,9.69,31.15,31%,27.62,55.31,50%,37.31,86.46,43%,14.54,24.46,59%,36.38,15.62,52.00,22.92,8.77,5.31,18.15,19.62,23.46,7.46,8.38,13.54,42.77,98.85,9 , 4
BWE,14,10.43,30.50,34%,26.29,56.14,47%,36.71,86.64,42%,18.21,25.36,72%,35.79,13.50,49.29,20.93,8.00,3.64,15.14,17.07,22.79,6.14,6.50,11.29,43.57,102.07,8 , 6
ROS,18,10.72,37.06,29%,23.28,45.61,51%,34.00,82.67,41%,14.61,21.83,67%,34.61,12.17,46.78,22.06,7.06,4.00,16.22,17.22,22.67,6.33,7.22,12.00,36.94,93.33,8 , 10
ALA,14,8.07,24.36,33%,29.57,61.43,48%,37.64,85.79,44%,13.71,21.07,65%,33.43,13.86,47.29,23.36,7.50,3.71,14.93,16.86,23.79,6.14,7.43,11.14,38.21,97.07,6 , 8
MAG,13,7.85,24.15,32%,27.54,62.69,44%,35.38,86.85,41%,14.23,19.92,71%,34.38,16.69,51.08,20.46,8.69,2.92,16.77,18.92,22.85,5.00,5.54,9.69,37.77,92.85,5 , 8
PHX,11,8.27,25.82,32%,26.73,61.00,44%,35.00,86.82,40%,16.36,22.00,74%,34.45,14.64,49.09,21.00,8.36,3.00,18.00,16.91,26.27,6.73,7.64,11.18,31.91,94.64,4 , 7
MER,12,8.00,24.92,32%,28.08,61.50,46%,36.08,86.42,42%,13.83,21.33,65%,32.92,15.08,48.00,20.33,6.42,3.08,15.17,18.83,24.08,5.58,7.00,9.75,28.83,94.00,4 , 8
NLX,11,10.55,34.45,31%,23.82,47.45,50%,34.36,81.91,42%,14.27,21.18,67%,34.82,12.82,47.64,22.91,5.73,4.27,19.45,14.55,24.27,6.73,8.09,12.55,41.18,93.55,3 , 8
COL,11,10.09,31.91,32%,31.00,59.64,52%,41.09,91.55,45%,14.64,21.73,67%,35.55,14.64,50.18,21.73,7.45,4.09,17.45,21.00,23.73,9.64,10.36,17.55,27.45,106.91,3 , 8
