Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
GIN,21,9.71,26.62,36%,30.38,56.95,53%,40.10,83.57,48%,13.33,17.90,74%,33.48,12.52,46.00,26.62,6.90,5.10,14.48,18.05,17.05,7.00,7.43,12.81,23.05,103.24,14 , 7
MER,22,9.00,26.41,34%,27.27,54.91,50%,36.27,81.32,45%,16.32,21.86,75%,32.41,14.64,47.05,20.09,5.86,3.14,15.27,15.18,23.14,6.36,7.05,10.68,22.86,97.86,13 , 9
TNT,17,11.24,31.82,35%,26.12,49.41,53%,37.35,81.24,46%,18.41,26.18,70%,30.41,12.76,43.18,18.76,7.24,4.94,15.82,18.53,24.71,7.29,7.94,13.24,21.65,104.35,11 , 6
GLO,17,10.35,32.00,32%,27.18,55.82,49%,37.53,87.82,43%,17.24,25.29,68%,33.47,15.29,48.76,22.12,8.12,3.47,15.18,16.12,23.18,8.76,9.76,15.18,30.18,102.65,8 , 9
NLX,13,12.31,35.92,34%,26.77,55.46,48%,39.08,91.38,43%,16.23,20.38,80%,33.69,12.92,46.62,25.00,8.62,3.46,13.77,17.38,25.92,8.23,8.85,14.69,47.08,106.69,8 , 5
SMB,12,10.42,34.33,30%,28.58,54.25,53%,39.00,88.58,44%,17.58,22.58,78%,35.50,12.92,48.42,18.67,9.00,4.58,15.25,17.17,21.33,9.42,10.42,15.92,28.17,106.00,6 , 6
MAG,12,7.33,23.67,31%,28.42,58.92,48%,35.75,82.58,43%,13.67,18.67,73%,34.83,13.33,48.17,23.08,7.92,4.83,16.83,17.58,20.75,4.92,5.42,9.50,38.17,92.50,6 , 6
ALA,12,6.17,20.33,30%,29.17,64.83,45%,35.33,85.17,41%,16.00,21.42,75%,34.08,13.75,47.83,20.17,6.50,2.25,15.17,15.25,22.83,5.33,6.42,9.67,36.25,92.83,5 , 7
COL,11,10.27,33.73,30%,25.18,55.73,45%,35.45,89.45,40%,21.91,32.64,67%,31.00,17.91,48.91,17.64,9.73,3.36,15.55,19.91,23.91,7.91,9.18,13.82,22.27,103.09,4 , 7
ROS,11,8.64,31.18,28%,23.73,52.00,46%,32.36,83.18,39%,13.64,21.00,65%,32.45,13.36,45.82,16.55,9.00,4.45,13.55,18.64,20.73,6.55,7.36,11.64,32.91,87.00,4 , 7
PHX,11,7.82,24.18,32%,30.73,62.45,49%,38.55,86.64,44%,16.27,24.64,66%,30.55,16.18,46.73,19.27,8.09,4.09,16.45,16.09,25.27,6.09,6.73,11.73,32.18,101.18,3 , 8
BWE,11,12.00,34.00,35%,24.18,49.27,49%,36.18,83.27,43%,14.18,21.09,67%,29.82,12.09,41.91,21.73,9.09,4.36,14.45,17.36,20.55,6.73,7.36,12.27,47.00,98.55,2 , 9
