PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
L. Henton,11,41.81,10.18,24.09,42%,2.91,8.82,33%,4.82,5.55,87%,2.36,1.64,2.09,3.09,8.64,11.73,1.82,3.55,-4.45,28.09,ALA
C. Abueva,8,28.19,5.5,14.25,39%,0.38,2.38,16%,3.63,6.38,57%,2.25,1.25,1.0,3.63,7.0,10.63,2.38,3.0,-0.5,15.0,ALA
J. Casio,11,23.81,3.82,8.0,48%,1.27,3.73,34%,1.36,1.55,88%,3.64,0.91,0.18,0.36,2.73,3.09,2.27,1.55,-1.0,10.27,ALA
C. Banchero,10,23.4,3.6,9.3,39%,0.6,1.7,35%,1.5,2.4,63%,3.1,0.9,0.2,1.4,2.4,3.8,2.5,2.3,-7.9,9.3,ALA
V. Manuel,8,16.89,3.38,8.5,40%,0.0,0.0,0%,1.63,1.88,87%,0.25,0.38,0.25,1.13,3.63,4.75,1.63,0.75,-3.38,8.38,ALA
S. Thoss,9,24.31,3.56,8.67,41%,0.0,0.0,0%,0.44,0.56,80%,1.11,0.67,0.56,1.22,3.11,4.33,2.67,2.0,-3.33,7.56,ALA
S. Enciso,11,18.97,2.64,7.18,37%,1.36,5.27,26%,0.64,1.36,47%,2.91,0.36,0.09,0.09,1.18,1.27,1.27,0.55,-1.27,7.27,ALA
T. dela Cruz,4,12.28,2.0,3.5,57%,0.5,1.0,50%,0.75,1.0,75%,0.25,0.25,0.25,0.5,1.5,2.0,0.5,0.0,2.25,5.25,ALA
N. Baclao,11,13.25,1.55,2.82,55%,0.0,0.09,0%,0.36,0.45,80%,0.91,0.36,1.09,1.45,2.09,3.55,1.82,0.27,0.36,3.45,ALA
C. Exciminiano,9,14.32,1.67,3.44,48%,0.0,0.67,0%,0.11,0.67,17%,0.89,1.11,0.33,0.89,0.44,1.33,1.44,0.44,1.11,3.44,ALA
K. Racal,10,20.7,1.0,3.6,28%,0.4,2.0,20%,0.7,1.1,64%,0.9,0.7,0.3,0.8,1.3,2.1,1.3,0.6,-1.9,3.1,ALA
K. Racal,10,20.7,1.0,3.6,28%,0.4,2.0,20%,0.7,1.1,64%,0.9,0.7,0.3,0.8,1.3,2.1,1.3,0.6,0.3,3.1,ALA
J. Pascual,6,12.27,1.0,2.17,46%,0.0,0.0,0%,1.0,1.67,60%,0.5,0.17,0.33,1.33,1.67,3.0,2.67,0.33,-3.0,3.0,ALA
A. Galliguez,7,10.66,1.0,4.29,23%,0.57,2.71,21%,0.14,0.29,50%,0.57,0.57,0.0,0.0,1.43,1.43,1.71,0.29,-2.14,2.71,ALA
C. Cruz,3,8.19,0.33,2.0,17%,0.33,1.0,33%,0.67,0.67,100%,0.0,0.33,0.0,1.0,3.0,4.0,1.67,1.33,-2.67,1.67,ALA
D. Hontiveros,6,12.42,0.5,3.83,13%,0.17,2.17,8%,0.0,0.0,0%,0.33,0.33,0.0,0.0,1.17,1.17,1.0,0.33,-7.33,1.17,ALA
M. Magat,6,6.16,0.33,1.33,25%,0.0,0.17,0%,0.33,0.67,50%,0.17,0.0,0.17,0.5,0.67,1.17,1.67,0.5,0.33,1.0,ALA
M. Magat,6,6.16,0.33,1.33,25%,0.0,0.17,0%,0.33,0.67,50%,0.17,0.0,0.17,0.5,0.67,1.17,1.67,0.5,0.83,1.0,ALA
J. Mendoza,9,14.58,0.22,1.67,13%,0.0,0.11,0%,0.44,0.67,67%,1.22,0.33,0.0,1.56,2.44,4.0,0.89,1.11,-1.67,0.89,ALA
S. Eman,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
E. Menk,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
J. Vanlandingham,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
N. Baclao,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
Y. Andrada,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
