PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
L. Henton,11,459.88,112,265,42%,32,97,33%,53,61,87%,26,18,23,34,95,129,20,39,-49,309,ALA
C. Abueva,8,225.48,44,114,39%,3,19,16%,29,51,57%,18,10,8,29,56,85,19,24,-4,120,ALA
J. Casio,11,261.86,42,88,48%,14,41,34%,15,17,88%,40,10,2,4,30,34,25,17,-11,113,ALA
C. Banchero,10,233.96,36,93,39%,6,17,35%,15,24,63%,31,9,2,14,24,38,25,23,-79,93,ALA
V. Manuel,8,135.11,27,68,40%,0,0,0%,13,15,87%,2,3,2,9,29,38,13,6,-27,67,ALA
S. Thoss,9,218.76,32,78,41%,0,0,0%,4,5,80%,10,6,5,11,28,39,24,18,-30,68,ALA
S. Enciso,11,208.64,29,79,37%,15,58,26%,7,15,47%,32,4,1,1,13,14,14,6,-14,80,ALA
T. dela Cruz,4,49.13,8,14,57%,2,4,50%,3,4,75%,1,1,1,2,6,8,2,0,9,21,ALA
N. Baclao,11,145.73,17,31,55%,0,1,0%,4,5,80%,10,4,12,16,23,39,20,3,4,38,ALA
C. Exciminiano,9,128.89,15,31,48%,0,6,0%,1,6,17%,8,10,3,8,4,12,13,4,10,31,ALA
K. Racal,10,207.03,10,36,28%,4,20,20%,7,11,64%,9,7,3,8,13,21,13,6,-19,31,ALA
K. Racal,10,207.03,10,36,28%,4,20,20%,7,11,64%,9,7,3,8,13,21,13,6,3,31,ALA
J. Pascual,6,73.61,6,13,46%,0,0,0%,6,10,60%,3,1,2,8,10,18,16,2,-18,18,ALA
A. Galliguez,7,74.6,7,30,23%,4,19,21%,1,2,50%,4,4,0,0,10,10,12,2,-15,19,ALA
C. Cruz,3,24.56,1,6,17%,1,3,33%,2,2,100%,0,1,0,3,9,12,5,4,-8,5,ALA
D. Hontiveros,6,74.52,3,23,13%,1,13,8%,0,0,0%,2,2,0,0,7,7,6,2,-44,7,ALA
M. Magat,6,36.96,2,8,25%,0,1,0%,2,4,50%,1,0,1,3,4,7,10,3,2,6,ALA
M. Magat,6,36.95,2,8,25%,0,1,0%,2,4,50%,1,0,1,3,4,7,10,3,5,6,ALA
J. Mendoza,9,131.25,2,15,13%,0,1,0%,4,6,67%,11,3,0,14,22,36,8,10,-15,8,ALA
S. Eman,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
E. Menk,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
J. Vanlandingham,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
N. Baclao,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
Y. Andrada,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
