PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
G. Johnson,4,41.51,12.5,30.75,41%,4.5,11.5,39%,4.5,8.5,53%,6.5,2.25,0.75,2.5,5.5,8.0,4.25,8.0,-14.75,34.0,COL
M. Cummings,7,40.28,11.0,21.43,51%,0.43,1.57,27%,4.57,7.14,64%,2.86,1.0,0.43,3.0,5.43,8.43,3.29,5.14,-12.0,27.0,COL
R. Celda,11,23.76,3.73,9.27,40%,1.09,3.73,29%,2.18,2.64,83%,1.36,1.18,0.18,0.55,2.45,3.0,1.64,1.91,-7.36,10.73,COL
G. Khobuntin,9,21.47,3.0,7.56,40%,0.44,1.56,29%,2.0,2.67,75%,0.67,0.33,0.11,1.0,3.22,4.22,3.0,2.44,-4.44,8.44,COL
P. Paniamogan,11,17.93,2.73,7.36,37%,1.55,4.45,35%,0.55,0.91,60%,1.0,0.64,0.09,0.55,1.91,2.45,2.73,0.91,-2.82,7.55,COL
J. Corpuz,11,17.47,3.18,6.36,50%,0.0,0.0,0%,0.64,1.09,58%,0.82,0.27,0.55,2.0,4.0,6.0,3.36,1.0,-4.18,7.0,COL
M. Yee,10,16.3,2.4,4.3,56%,0.9,1.6,56%,1.2,1.2,100%,0.3,0.3,0.3,1.5,1.5,3.0,1.7,0.3,-9.4,6.9,COL
L. Revilla,8,22.98,2.63,5.75,46%,0.38,1.13,33%,0.88,1.0,88%,5.13,1.13,0.0,0.5,3.13,3.63,2.0,1.88,-7.25,6.5,COL
J. Elorde,10,21.14,2.0,6.2,32%,1.2,3.1,39%,0.8,0.9,89%,2.4,1.2,0.0,0.8,2.6,3.4,2.9,1.4,-3.7,6.0,COL
E. Camson,10,11.96,1.5,5.8,26%,0.7,2.9,24%,0.3,0.6,50%,0.2,0.4,0.1,0.7,1.1,1.8,1.6,0.7,-2.0,4.0,COL
P. Galanza,5,9.67,1.2,3.2,38%,0.8,2.0,40%,0.6,1.0,60%,0.4,0.2,0.2,0.2,1.0,1.2,0.8,0.6,-4.4,3.8,COL
J. Nimes,7,11.79,1.57,3.0,52%,0.29,0.86,33%,0.0,0.0,0%,1.86,0.29,0.0,0.29,1.71,2.0,1.57,0.43,-7.14,3.43,COL
C. Jaime,10,9.2,1.0,4.2,24%,0.4,1.9,21%,0.7,0.8,88%,0.4,0.1,0.3,1.3,0.9,2.2,1.8,0.5,-4.3,3.1,COL
J. Deutchman,8,10.76,1.13,3.75,30%,0.75,2.88,26%,0.0,0.38,0%,0.5,0.25,0.0,0.13,1.25,1.38,1.25,0.5,-2.5,3.0,COL
N. Salva,9,12.47,1.0,4.0,25%,0.0,0.33,0%,0.33,0.33,100%,0.89,0.33,0.33,0.33,1.67,2.0,1.0,0.56,-4.78,2.33,COL
P. Caperal,5,8.33,1.0,3.4,29%,0.0,0.2,0%,0.0,0.0,0%,0.2,0.0,0.4,0.2,1.8,2.0,0.4,0.4,-5.6,2.0,COL
J. Teng,3,8.52,0.67,3.67,18%,0.33,1.67,20%,0.0,0.0,0%,0.33,0.33,0.0,0.0,0.67,0.67,1.67,1.0,-7.0,1.67,COL
J. Ballesteros,10,18.39,0.7,1.1,64%,0.0,0.0,0%,0.2,0.2,100%,0.2,0.0,0.8,2.0,3.0,5.0,1.6,0.7,-6.3,1.6,COL
D. Villamor,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
J. Webb,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
H. Bagatsing,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
J. White,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
I. Mashaddy,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
R. Guevarra,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
G. David,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
J. Apinan,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
R. Escoto,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
