PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Brownlee,11,39.67,8.91,19.27,46%,2.27,6.55,35%,2.45,4.09,60%,4.91,1.73,2.09,2.0,9.55,11.55,2.09,3.18,5.73,22.55,GIN
L. Tenorio,11,32.49,5.55,12.09,46%,2.45,5.36,46%,1.36,1.91,71%,4.36,1.64,0.09,0.45,2.64,3.09,1.27,2.27,7.55,14.91,GIN
J. Devance,11,29.27,5.0,9.45,53%,1.64,3.45,47%,0.64,1.09,58%,3.0,0.55,0.27,1.64,3.36,5.0,1.91,2.09,8.09,12.27,GIN
J. Aguilar,11,27.9,4.18,8.64,48%,0.09,0.64,14%,3.09,4.36,71%,1.55,0.27,1.64,3.36,4.82,8.18,1.91,2.82,3.55,11.55,GIN
S. Thompson,11,28.27,3.0,5.36,56%,0.18,1.36,13%,1.64,2.82,58%,6.27,0.64,0.55,1.09,4.82,5.91,1.64,2.0,4.36,7.82,GIN
K. Ferrer,8,12.4,1.75,4.13,42%,1.13,3.0,38%,0.63,1.13,56%,0.5,0.38,0.38,0.38,1.13,1.5,1.13,0.38,2.38,5.25,GIN
K. Ferrer,8,12.4,1.75,4.13,42%,1.13,3.0,38%,0.63,1.13,56%,0.5,0.38,0.38,0.38,1.13,1.5,1.13,0.38,0.88,5.25,GIN
M. Caguioa,10,9.73,2.0,5.1,39%,0.0,0.1,0%,0.3,0.4,75%,0.4,0.2,0.1,0.8,1.1,1.9,0.9,0.6,-0.5,4.3,GIN
S. Mercado,8,19.36,1.88,6.25,30%,0.0,2.25,0%,0.5,1.13,44%,3.63,1.0,0.13,0.5,2.38,2.88,2.5,0.38,-1.75,4.25,GIN
C. Ellis,6,13.44,1.17,3.67,32%,0.0,0.33,0%,1.17,2.5,47%,1.0,0.67,0.5,1.33,2.17,3.5,1.83,1.17,4.0,3.5,GIN
P. Taha,8,6.75,1.25,3.5,36%,0.0,0.13,0%,0.25,0.25,100%,0.5,0.25,0.13,0.63,1.13,1.75,0.75,0.5,-1.13,2.75,GIN
J. Cruz,7,7.72,0.71,3.14,23%,0.0,0.0,0%,1.14,1.43,80%,0.0,0.14,0.29,1.57,1.57,3.14,0.86,0.43,-0.29,2.57,GIN
R. Aguilar,2,4.28,0.5,2.5,20%,0.0,0.5,0%,1.0,2.0,50%,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,2.0,2.0,GIN
A. Mariano,7,6.11,0.43,1.14,38%,0.0,0.0,0%,0.57,0.71,80%,0.14,0.14,0.29,0.43,0.29,0.71,0.86,0.43,-4.86,1.43,GIN
D. Marcelo,4,7.05,0.5,1.25,40%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.75,0.5,1.0,1.5,1.5,0.5,-4.75,1.0,GIN
R. Jamito,2,2.61,0.5,1.0,50%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,-5.5,1.0,GIN
A. Helterbrand,2,4.86,0.0,1.5,0%,0.0,0.5,0%,0.0,0.0,0%,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,-2.5,0.0,GIN
