PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Brownlee,11,436.36,98,212,46%,25,72,35%,27,45,60%,54,19,23,22,105,127,23,35,63,248,GIN
L. Tenorio,11,357.37,61,133,46%,27,59,46%,15,21,71%,48,18,1,5,29,34,14,25,83,164,GIN
J. Devance,11,321.95,55,104,53%,18,38,47%,7,12,58%,33,6,3,18,37,55,21,23,89,135,GIN
J. Aguilar,11,306.93,46,95,48%,1,7,14%,34,48,71%,17,3,18,37,53,90,21,31,39,127,GIN
S. Thompson,11,310.95,33,59,56%,2,15,13%,18,31,58%,69,7,6,12,53,65,18,22,48,86,GIN
K. Ferrer,8,99.23,14,33,42%,9,24,38%,5,9,56%,4,3,3,3,9,12,9,3,19,42,GIN
K. Ferrer,8,99.23,14,33,42%,9,24,38%,5,9,56%,4,3,3,3,9,12,9,3,7,42,GIN
M. Caguioa,10,97.31,20,51,39%,0,1,0%,3,4,75%,4,2,1,8,11,19,9,6,-5,43,GIN
S. Mercado,8,154.9,15,50,30%,0,18,0%,4,9,44%,29,8,1,4,19,23,20,3,-14,34,GIN
C. Ellis,6,80.61,7,22,32%,0,2,0%,7,15,47%,6,4,3,8,13,21,11,7,24,21,GIN
P. Taha,8,54.03,10,28,36%,0,1,0%,2,2,100%,4,2,1,5,9,14,6,4,-9,22,GIN
J. Cruz,7,54.03,5,22,23%,0,0,0%,8,10,80%,0,1,2,11,11,22,6,3,-2,18,GIN
R. Aguilar,2,8.56,1,5,20%,0,1,0%,2,4,50%,2,0,0,1,1,2,1,1,4,4,GIN
A. Mariano,7,42.75,3,8,38%,0,0,0%,4,5,80%,1,1,2,3,2,5,6,3,-34,10,GIN
D. Marcelo,4,28.19,2,5,40%,0,0,0%,0,0,0%,0,0,3,2,4,6,6,2,-19,4,GIN
R. Jamito,2,5.22,1,2,50%,0,0,0%,0,0,0%,0,0,0,0,1,1,1,2,-11,2,GIN
A. Helterbrand,2,9.71,0,3,0%,0,1,0%,0,0,0%,2,0,0,0,1,1,1,2,-5,0,GIN
