PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Bullock,8,36.66,7.75,17.75,44%,2.5,7.25,34%,3.5,5.25,67%,3.38,1.5,0.63,2.88,7.0,9.88,2.13,2.88,8.38,21.5,ROS
J. Weatherspoon,3,43.12,8.67,19.0,46%,0.33,3.67,9%,3.67,7.67,48%,2.0,1.0,1.67,5.33,9.33,14.67,1.33,3.33,-2.0,21.33,ROS
R. Almazan,9,22.61,5.22,9.11,57%,0.89,2.44,36%,2.33,3.33,70%,0.67,0.0,1.11,3.33,4.44,7.78,2.89,2.33,-0.56,13.67,ROS
G. Norwood,9,31.64,3.78,8.22,46%,1.22,3.67,33%,1.44,2.0,72%,2.78,1.78,0.22,1.56,5.44,7.0,1.22,0.89,5.0,10.22,ROS
J. Chan,3,23.04,3.33,7.0,48%,0.67,2.33,29%,1.67,1.67,100%,1.67,0.33,0.0,0.0,0.67,0.67,1.67,2.33,5.67,9.0,ROS
M. Ahanmisi,11,28.1,3.55,8.45,42%,1.09,3.73,29%,0.64,1.0,64%,4.36,1.36,0.27,1.27,3.82,5.09,2.18,1.73,5.45,8.82,ROS
J. Cruz,11,21.96,3.09,9.0,34%,1.55,4.64,33%,0.55,0.91,60%,2.36,0.91,0.27,0.82,2.45,3.27,1.55,1.0,-1.0,8.27,ROS
J. Cruz,11,21.96,3.09,9.0,34%,1.55,4.64,33%,0.55,0.91,60%,2.36,0.91,0.27,0.82,2.45,3.27,1.55,1.0,-0.73,8.27,ROS
A. Washington,1,9.77,3.0,6.0,50%,2.0,4.0,50%,0.0,0.0,0%,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,8.0,ROS
B. Belga,10,21.02,3.0,8.3,36%,0.7,2.4,29%,0.7,1.0,70%,2.0,0.7,0.5,1.5,4.4,5.9,2.8,1.9,8.8,7.4,ROS
C. Tiu,11,19.1,2.0,5.09,39%,1.27,3.45,37%,1.36,1.82,75%,2.91,0.64,0.0,0.18,3.0,3.18,2.36,1.55,2.0,6.64,ROS
M. Borboran,8,14.83,2.38,4.13,58%,1.38,2.25,61%,0.38,0.5,75%,0.88,0.5,0.38,1.25,1.75,3.0,0.88,0.25,3.75,6.5,ROS
J. Yap,10,16.8,2.5,7.5,33%,0.6,3.4,18%,0.7,0.8,88%,1.0,0.2,0.3,0.4,1.8,2.2,1.3,0.7,-4.8,6.3,ROS
E. Daquioag,5,9.7,1.8,3.6,50%,0.4,0.6,67%,2.0,2.6,77%,0.6,0.6,0.0,0.2,1.4,1.6,1.4,0.8,7.8,6.0,ROS
B. Robles,3,7.06,2.33,4.67,50%,0.33,0.67,50%,0.0,0.0,0%,1.33,0.0,0.0,0.67,1.0,1.67,0.33,0.33,1.0,5.0,ROS
D. Trollano,9,11.41,1.67,4.56,37%,0.56,2.0,28%,0.22,0.33,67%,0.22,0.22,0.11,0.44,2.11,2.56,2.11,1.33,0.33,4.11,ROS
J. King,5,12.78,1.2,3.4,35%,0.6,2.0,30%,0.6,1.2,50%,1.8,0.0,0.0,0.4,2.8,3.2,1.0,1.0,6.2,3.6,ROS
J. Ponferada,10,11.09,1.1,3.1,35%,0.4,1.4,29%,0.5,1.1,45%,0.5,0.0,0.4,0.8,1.6,2.4,2.4,1.2,0.5,3.1,ROS
R. Matias,6,8.11,1.17,2.33,50%,0.5,1.0,50%,0.17,0.33,50%,0.17,0.17,0.17,0.83,1.33,2.17,0.83,1.17,0.83,3.0,ROS
D. Maiquez,5,6.26,1.0,2.2,45%,0.0,0.4,0%,0.2,0.2,100%,0.4,0.6,0.0,0.6,1.2,1.8,1.4,0.6,-0.4,2.2,ROS
J. Ibanes,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS
D. Lowhorn,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS
M. Tolomia,1,5.02,0.0,3.0,0%,0.0,2.0,0%,0.0,0.0,0%,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,-13.0,0.0,ROS
