PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
G. Rice Jr.,8,301.81,92,213,43%,25,83,30%,54,74,73%,39,24,12,22,68,90,21,43,43,263,TNT
M. Craig Jr.,3,106.71,28,60,47%,2,8,25%,7,9,78%,20,4,3,9,41,50,15,21,41,65,TNT
W. Castro,10,293.68,63,111,57%,17,41,41%,27,36,75%,48,12,6,2,37,39,19,26,70,170,TNT
R. Pogoy,10,288.22,48,104,46%,22,50,44%,16,25,64%,17,6,3,9,21,30,22,12,58,134,TNT
K. Williams,11,305.69,51,96,53%,4,14,29%,24,40,60%,11,13,1,19,56,75,25,14,42,130,TNT
J. Rosario,9,255.0,36,80,45%,10,37,27%,15,21,71%,10,6,2,13,60,73,29,13,67,97,TNT
R. de Ocampo,8,193.55,27,61,44%,9,27,33%,10,10,100%,21,5,5,7,28,35,17,13,-29,73,TNT
M. Tautuaa,11,216.2,23,54,43%,0,2,0%,17,30,57%,17,6,2,27,43,70,37,22,23,63,TNT
A. Semerad,10,194.73,20,46,43%,10,26,38%,2,2,100%,4,3,0,5,12,17,29,5,25,52,TNT
R. Reyes,8,183.08,12,35,34%,8,23,35%,2,4,50%,27,11,2,3,26,29,19,10,12,34,TNT
J. Chua,1,3.5,2,2,100%,0,0,0%,0,0,0%,0,0,0,0,2,2,2,1,0,4,TNT
R. Garcia,4,70.12,4,26,15%,2,19,11%,5,5,100%,3,0,2,1,6,7,8,6,-45,15,TNT
R. Lingganay,6,45.31,6,14,43%,4,8,50%,2,2,100%,7,0,0,3,5,8,6,2,8,18,TNT
L. Hernandez,7,53.81,7,22,32%,5,18,28%,0,0,0%,3,0,0,0,1,1,7,1,-25,19,TNT
H. Carey,9,72.51,8,20,40%,0,0,0%,3,4,75%,3,1,0,11,13,24,5,6,-44,19,TNT
F. Golla,3,12.7,1,3,33%,1,3,33%,0,0,0%,1,0,0,2,1,3,3,1,-6,3,TNT
A. Tamsi,2,18.34,1,5,20%,0,3,0%,0,0,0%,0,0,1,0,4,4,4,1,-27,2,TNT
A. Nuyles,4,13.27,1,4,25%,1,1,100%,0,0,0%,0,0,0,0,3,3,2,3,-7,3,TNT
D. Seigle,3,11.73,1,2,50%,0,0,0%,0,0,0%,0,0,0,1,0,1,0,0,-11,2,TNT
J. Reyes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
M. Madanly,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
K. Rosales,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
