PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
V. Manuel,11,241.57,114,196,58%,1,2,50%,37,46,80%,10,9,7,13,57,70,22,23,68,266,ALA
A. Campbell,10,316.92,83,186,45%,27,72,38%,33,44,75%,20,12,15,29,119,148,36,30,13,226,ALA
D. Simpson,1,31.68,6,13,46%,0,0,0%,6,9,67%,4,0,4,4,15,19,3,4,18,18,ALA
C. Abueva,5,99.5,17,53,32%,2,11,18%,16,30,53%,14,11,6,15,32,47,11,17,43,52,ALA
C. Banchero,11,300.69,43,105,41%,6,22,27%,16,24,67%,71,12,0,10,28,38,27,23,9,108,ALA
J. Casio,11,258.28,36,76,47%,13,34,38%,11,11,100%,37,4,1,5,20,25,22,7,13,96,ALA
J. Pascual,2,15.52,6,8,75%,0,1,0%,2,6,33%,1,0,1,3,6,9,4,0,11,14,ALA
K. Racal,11,217.17,23,52,44%,13,27,48%,5,6,83%,17,4,2,11,16,27,16,6,2,64,ALA
K. Racal,11,217.18,23,52,44%,13,27,48%,5,6,83%,17,4,2,11,16,27,16,6,2,64,ALA
S. Enciso,11,223.81,22,60,37%,8,36,22%,7,9,78%,38,4,0,2,22,24,9,18,47,59,ALA
S. Thoss,11,190.3,27,61,44%,1,3,33%,2,9,22%,14,0,1,10,29,39,26,13,-12,57,ALA
J. Teng,7,112.87,13,40,33%,1,3,33%,6,17,35%,7,3,0,15,13,28,12,3,23,33,ALA
M. Magat,7,62.49,12,24,50%,1,10,10%,6,12,50%,1,2,1,5,14,19,12,4,15,31,ALA
M. Magat,7,62.48,12,24,50%,1,10,10%,6,12,50%,1,2,1,5,14,19,12,4,15,31,ALA
D. Potts,3,24.75,5,9,56%,2,3,67%,0,0,0%,2,2,1,0,1,1,1,0,0,12,ALA
R. Pascual,7,81.97,9,21,43%,8,18,44%,1,2,50%,7,1,2,1,11,12,11,6,-13,27,ALA
A. Galliguez,5,45.92,4,10,40%,2,7,29%,8,10,80%,5,3,0,1,6,7,8,6,21,18,ALA
C. Exciminiano,11,143.96,15,37,41%,3,14,21%,3,7,43%,7,6,1,8,8,16,12,4,46,36,ALA
N. Baclao,10,168.44,14,29,48%,0,1,0%,2,2,100%,12,6,7,12,21,33,26,8,27,30,ALA
C. Cruz,2,13.27,2,4,50%,0,0,0%,0,0,0%,0,0,0,0,0,0,3,2,-3,4,ALA
Y. Andrada,1,5.93,0,3,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,1,1,-8,0,ALA
