PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Fields,8,39.27,9.63,15.88,61%,0.0,0.0,0%,9.88,13.75,72%,3.5,1.0,2.0,7.0,12.13,19.13,2.5,4.25,-8.63,29.13,COL
C. Aiken,3,36.62,7.67,13.33,58%,1.0,2.0,50%,3.0,5.33,56%,2.0,2.0,3.33,5.67,11.0,16.67,4.0,2.33,8.0,19.33,COL
R. McCarthy,11,31.77,5.09,13.64,37%,2.18,6.27,35%,3.09,4.0,77%,6.09,1.64,0.0,1.0,3.73,4.73,2.18,3.18,-4.36,15.45,COL
J. King,11,29.02,4.91,12.36,40%,2.0,6.0,33%,2.36,3.0,79%,3.55,1.27,0.09,1.27,3.36,4.64,2.36,1.55,-1.0,14.18,COL
E. Camson,10,20.04,4.3,10.3,42%,1.3,4.7,28%,1.2,2.0,60%,0.8,0.9,0.0,0.9,3.5,4.4,2.9,2.0,-5.8,11.1,COL
C. Lastimosa,8,17.2,3.88,10.0,39%,0.75,3.38,22%,0.5,0.75,67%,2.5,0.63,0.13,0.75,1.25,2.0,2.25,1.25,0.38,9.0,COL
R. Celda,11,16.46,3.45,7.82,44%,0.64,2.64,24%,1.36,1.64,83%,2.73,1.18,0.09,0.09,1.27,1.36,1.45,1.45,-7.0,8.91,COL
G. Khobuntin,10,18.83,3.1,8.2,38%,1.2,3.7,32%,0.8,1.6,50%,1.0,0.0,0.2,0.3,1.4,1.7,1.4,1.6,-3.2,8.2,COL
R. Tubid,11,15.55,2.55,6.18,41%,1.27,3.45,37%,0.64,0.64,100%,1.09,0.55,0.09,0.45,1.82,2.27,1.64,0.82,-4.91,7.0,COL
J. Gabriel,3,7.04,1.33,2.33,57%,0.0,0.0,0%,0.67,1.33,50%,0.0,0.0,0.33,1.0,0.33,1.33,1.67,1.0,-5.0,3.33,COL
D. Ababou,8,9.94,1.13,3.13,36%,0.5,1.88,27%,0.25,0.38,67%,0.0,0.38,0.13,0.0,0.13,0.13,1.38,0.38,-4.25,3.0,COL
R. Cabrera,6,6.27,1.0,3.33,30%,0.83,3.0,28%,0.17,0.33,50%,0.67,0.17,0.0,0.0,0.83,0.83,0.33,0.0,0.0,3.0,COL
R. Escoto,10,10.59,1.0,3.0,33%,0.4,1.9,21%,0.4,0.7,57%,0.6,0.4,0.1,0.4,1.2,1.6,2.0,1.0,-3.4,2.8,COL
P. Cahilig,10,11.01,1.0,2.5,40%,0.5,1.6,31%,0.1,0.2,50%,0.2,0.5,0.2,0.9,1.1,2.0,3.0,0.6,-2.7,2.6,COL
J. Corpuz,11,9.3,1.09,3.27,33%,0.0,0.09,0%,0.27,0.36,75%,0.82,1.0,0.36,1.0,1.73,2.73,2.73,0.55,0.45,2.45,COL
M. Yee,2,5.2,1.0,1.0,100%,0.0,0.0,0%,0.0,0.0,0%,0.5,0.0,0.0,0.0,2.0,2.0,0.0,0.5,-1.0,2.0,COL
R. Sara,8,11.75,0.75,2.25,33%,0.13,0.75,17%,0.25,0.38,67%,1.13,0.63,0.0,1.13,0.5,1.63,0.75,0.5,-2.63,1.88,COL
J. Jamon,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL
