PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Fields,8,314.14,77,127,61%,0,0,0%,79,110,72%,28,8,16,56,97,153,20,34,-69,233,COL
C. Aiken,3,109.85,23,40,58%,3,6,50%,9,16,56%,6,6,10,17,33,50,12,7,24,58,COL
R. McCarthy,11,349.49,56,150,37%,24,69,35%,34,44,77%,67,18,0,11,41,52,24,35,-48,170,COL
J. King,11,319.24,54,136,40%,22,66,33%,26,33,79%,39,14,1,14,37,51,26,17,-11,156,COL
E. Camson,10,200.38,43,103,42%,13,47,28%,12,20,60%,8,9,0,9,35,44,29,20,-58,111,COL
C. Lastimosa,8,137.62,31,80,39%,6,27,22%,4,6,67%,20,5,1,6,10,16,18,10,3,72,COL
R. Celda,11,181.02,38,86,44%,7,29,24%,15,18,83%,30,13,1,1,14,15,16,16,-77,98,COL
G. Khobuntin,10,188.3,31,82,38%,12,37,32%,8,16,50%,10,0,2,3,14,17,14,16,-32,82,COL
R. Tubid,11,171.07,28,68,41%,14,38,37%,7,7,100%,12,6,1,5,20,25,18,9,-54,77,COL
J. Gabriel,3,21.13,4,7,57%,0,0,0%,2,4,50%,0,0,1,3,1,4,5,3,-15,10,COL
D. Ababou,8,79.48,9,25,36%,4,15,27%,2,3,67%,0,3,1,0,1,1,11,3,-34,24,COL
R. Cabrera,6,37.62,6,20,30%,5,18,28%,1,2,50%,4,1,0,0,5,5,2,0,0,18,COL
R. Escoto,10,105.89,10,30,33%,4,19,21%,4,7,57%,6,4,1,4,12,16,20,10,-34,28,COL
P. Cahilig,10,110.06,10,25,40%,5,16,31%,1,2,50%,2,5,2,9,11,20,30,6,-27,26,COL
J. Corpuz,11,102.33,12,36,33%,0,1,0%,3,4,75%,9,11,4,11,19,30,30,6,5,27,COL
M. Yee,2,10.4,2,2,100%,0,0,0%,0,0,0%,1,0,0,0,4,4,0,1,-2,4,COL
R. Sara,8,94.01,6,18,33%,1,6,17%,2,3,67%,9,5,0,9,4,13,6,4,-21,15,COL
J. Jamon,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
