PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Onuaku,11,39.78,7.82,12.55,62%,0.09,0.45,20%,2.18,6.55,33%,5.0,1.82,1.45,3.91,12.73,16.64,3.27,3.18,8.82,17.91,MER
C. Newsome,11,34.22,6.55,14.73,44%,1.73,3.64,48%,2.27,3.09,74%,5.55,0.91,0.27,1.0,4.73,5.73,2.55,2.36,10.91,17.09,MER
B. Amer,11,29.69,5.18,11.18,46%,1.91,4.64,41%,1.64,2.09,78%,4.09,1.09,0.18,0.64,2.73,3.36,2.0,1.64,6.27,13.91,MER
N. Canaleta,11,17.86,3.45,8.09,43%,2.36,4.73,50%,1.18,1.55,76%,0.73,0.09,0.18,0.64,2.82,3.45,1.91,0.82,3.91,10.45,MER
J. Dillinger,11,28.42,3.82,9.82,39%,2.0,5.91,34%,0.45,0.91,50%,1.27,0.82,0.27,0.36,3.45,3.82,2.18,1.64,2.91,10.09,MER
R. de Ocampo,6,21.32,2.33,7.0,33%,1.17,4.17,28%,1.5,2.0,75%,1.5,0.33,0.0,0.17,3.67,3.83,2.0,1.0,3.0,7.33,MER
A. Caram,11,17.1,3.09,5.64,55%,0.27,1.27,21%,0.64,0.73,88%,1.91,0.73,0.18,0.18,0.73,0.91,2.55,0.91,1.09,7.09,MER
C. Hodge,11,27.12,2.18,5.09,43%,0.27,1.0,27%,1.0,2.36,42%,1.91,0.55,0.45,1.45,3.27,4.73,2.64,0.91,8.73,5.64,MER
N. Salva,4,9.75,1.5,3.0,50%,0.25,0.5,50%,1.0,1.0,100%,0.75,0.0,0.5,0.25,1.0,1.25,1.25,1.5,-2.25,4.25,MER
M. Tolomia,8,7.21,1.25,3.38,37%,0.13,1.0,13%,0.88,1.0,88%,0.5,0.25,0.0,0.25,1.5,1.75,1.0,1.0,-3.75,3.5,MER
M. Baracael,5,9.42,0.6,2.4,25%,0.0,0.8,0%,1.2,1.2,100%,0.8,0.4,0.0,0.8,0.4,1.2,2.2,0.4,-0.2,2.4,MER
J. Sedurifa,3,6.78,1.0,3.67,27%,0.0,1.33,0%,0.33,0.67,50%,0.33,0.33,0.0,0.0,1.33,1.33,0.67,0.67,1.67,2.33,MER
R. Hugnatan,10,8.08,1.0,2.8,36%,0.1,1.1,9%,0.2,0.3,67%,0.3,0.1,0.2,0.2,0.9,1.1,0.8,0.1,-1.4,2.3,MER
G. Lanete,7,8.36,0.43,1.57,27%,0.29,1.29,22%,0.43,0.43,100%,0.43,0.14,0.14,0.0,0.57,0.57,1.43,0.57,-4.86,1.57,MER
J. Ballesteros,4,3.29,0.5,0.75,67%,0.0,0.0,0%,0.0,0.0,0%,0.25,0.25,0.25,0.5,0.75,1.25,0.5,0.5,-3.25,1.0,MER
B. Faundo,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
K. Bono,2,2.11,0.0,0.5,0%,0.0,0.0,0%,0.0,0.0,0%,0.5,0.0,0.0,0.0,1.5,1.5,0.5,0.5,-4.0,0.0,MER
M. Baracael,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
