PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Onuaku,11,437.53,86,138,62%,1,5,20%,24,72,33%,55,20,16,43,140,183,36,35,97,197,MER
C. Newsome,11,376.44,72,162,44%,19,40,48%,25,34,74%,61,10,3,11,52,63,28,26,120,188,MER
B. Amer,11,326.6,57,123,46%,21,51,41%,18,23,78%,45,12,2,7,30,37,22,18,69,153,MER
N. Canaleta,11,196.42,38,89,43%,26,52,50%,13,17,76%,8,1,2,7,31,38,21,9,43,115,MER
J. Dillinger,11,312.61,42,108,39%,22,65,34%,5,10,50%,14,9,3,4,38,42,24,18,32,111,MER
R. de Ocampo,6,127.92,14,42,33%,7,25,28%,9,12,75%,9,2,0,1,22,23,12,6,18,44,MER
A. Caram,11,188.09,34,62,55%,3,14,21%,7,8,88%,21,8,2,2,8,10,28,10,12,78,MER
C. Hodge,11,298.34,24,56,43%,3,11,27%,11,26,42%,21,6,5,16,36,52,29,10,96,62,MER
N. Salva,4,38.98,6,12,50%,1,2,50%,4,4,100%,3,0,2,1,4,5,5,6,-9,17,MER
M. Tolomia,8,57.71,10,27,37%,1,8,13%,7,8,88%,4,2,0,2,12,14,8,8,-30,28,MER
M. Baracael,5,47.11,3,12,25%,0,4,0%,6,6,100%,4,2,0,4,2,6,11,2,-1,12,MER
J. Sedurifa,3,20.33,3,11,27%,0,4,0%,1,2,50%,1,1,0,0,4,4,2,2,5,7,MER
R. Hugnatan,10,80.75,10,28,36%,1,11,9%,2,3,67%,3,1,2,2,9,11,8,1,-14,23,MER
G. Lanete,7,58.52,3,11,27%,2,9,22%,3,3,100%,3,1,1,0,4,4,10,4,-34,11,MER
J. Ballesteros,4,13.17,2,3,67%,0,0,0%,0,0,0%,1,1,1,2,3,5,2,2,-13,4,MER
B. Faundo,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
K. Bono,2,4.21,0,1,0%,0,0,0%,0,0,0%,1,0,0,0,3,3,1,1,-8,0,MER
M. Baracael,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
