PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
O. Ashaolu,1,30.03,9.0,18.0,50%,2.0,3.0,67%,11.0,16.0,69%,1.0,0.0,0.0,2.0,10.0,12.0,4.0,7.0,-16.0,31.0,NLX
A. Moultrie,9,35.96,12.0,22.33,54%,0.0,0.11,0%,5.89,7.22,82%,3.33,1.44,1.44,4.56,10.11,14.67,3.11,3.44,-4.22,29.89,NLX
K. Ravena,5,27.12,6.0,13.0,46%,2.2,5.0,44%,3.0,3.8,79%,5.6,0.8,0.4,0.4,3.6,4.0,2.0,1.4,-3.0,17.2,NLX
J. Quinahan,11,24.66,4.73,11.64,41%,0.73,2.45,30%,1.82,2.36,77%,2.09,1.0,0.09,1.0,3.36,4.36,2.82,1.18,-5.18,12.0,NLX
M. Tallo,3,24.78,4.67,11.0,42%,1.0,4.33,23%,1.67,1.67,100%,4.33,1.0,1.0,0.67,2.0,2.67,1.67,2.0,-5.67,12.0,NLX
A. Mallari,8,23.69,3.0,9.38,32%,1.13,4.0,28%,1.88,2.25,83%,3.88,0.5,0.25,0.38,3.13,3.5,1.38,1.63,-5.5,9.0,NLX
A. Mallari,8,23.68,3.0,9.38,32%,1.13,4.0,28%,1.88,2.25,83%,3.88,0.5,0.25,0.38,3.13,3.5,1.38,1.63,-5.5,9.0,NLX
L. Fonacier,7,27.02,3.0,7.29,41%,1.29,4.0,32%,1.57,1.86,85%,4.0,0.57,0.29,0.43,4.43,4.86,1.14,1.43,-1.57,8.86,NLX
J. Tiongson,11,19.96,2.18,6.0,36%,0.73,2.82,26%,0.82,0.91,90%,3.73,0.36,0.0,0.36,1.09,1.45,1.45,2.09,-6.55,5.91,NLX
C. Baguio,11,20.33,1.82,4.09,44%,0.73,1.91,38%,0.73,1.09,67%,2.18,0.73,0.45,0.82,1.82,2.64,1.55,1.09,-5.64,5.09,NLX
R. Soyud,11,10.77,1.91,3.73,51%,0.45,1.18,38%,0.82,1.27,64%,0.18,0.0,0.27,0.91,1.55,2.45,1.64,0.36,-3.73,5.09,NLX
A. Taulava,7,7.06,1.43,3.29,43%,1.14,2.57,44%,0.43,0.57,75%,0.71,0.29,0.43,0.86,1.71,2.57,0.86,1.0,-0.71,4.43,NLX
K. Ighalo,11,14.02,1.55,4.36,35%,0.36,1.91,19%,0.55,0.82,67%,0.91,0.64,0.09,0.91,2.36,3.27,1.0,1.0,-1.64,4.0,NLX
M. Miranda,9,11.71,1.44,4.0,36%,0.22,1.67,13%,0.22,0.33,67%,0.89,0.22,0.22,0.22,1.78,2.0,1.89,0.44,-1.89,3.33,NLX
R. Buenafe,7,9.76,1.0,3.14,32%,0.86,2.57,33%,0.0,0.0,0%,0.57,0.43,0.0,0.14,1.14,1.29,0.57,1.0,-6.14,2.86,NLX
J. Uyloan,5,16.14,0.8,3.8,21%,0.8,2.8,29%,0.4,0.6,67%,3.8,0.6,0.2,0.0,2.6,2.6,2.4,0.8,-3.2,2.8,NLX
E. Monfort,10,12.36,0.9,2.2,41%,0.4,0.9,44%,0.6,1.0,60%,1.9,0.6,0.0,0.5,1.8,2.3,1.6,0.3,-3.2,2.8,NLX
J. Rios,8,9.46,1.13,4.0,28%,0.25,1.25,20%,0.13,0.25,50%,1.63,0.38,0.63,0.5,0.75,1.25,1.13,0.75,-2.25,2.63,NLX
D. Marcelo,6,8.05,0.83,2.5,33%,0.33,1.0,33%,0.17,0.17,100%,0.33,0.17,0.0,1.0,1.0,2.0,1.17,0.5,-1.83,2.17,NLX
R. Al-Hussaini,1,6.75,1.0,4.0,25%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-12.0,2.0,NLX
A. Gotladera,5,6.01,0.8,2.0,40%,0.0,0.0,0%,0.0,0.0,0%,0.6,0.2,0.0,1.0,1.2,2.2,0.2,0.6,-4.2,1.6,NLX
K. Alas,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
J. Rios,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
