PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
O. Ashaolu,1,30.03,9,18,50%,2,3,67%,11,16,69%,1,0,0,2,10,12,4,7,-16,31,NLX
A. Moultrie,9,323.62,108,201,54%,0,1,0%,53,65,82%,30,13,13,41,91,132,28,31,-38,269,NLX
K. Ravena,5,135.62,30,65,46%,11,25,44%,15,19,79%,28,4,2,2,18,20,10,7,-15,86,NLX
J. Quinahan,11,271.21,52,128,41%,8,27,30%,20,26,77%,23,11,1,11,37,48,31,13,-57,132,NLX
M. Tallo,3,74.33,14,33,42%,3,13,23%,5,5,100%,13,3,3,2,6,8,5,6,-17,36,NLX
A. Mallari,8,189.48,24,75,32%,9,32,28%,15,18,83%,31,4,2,3,25,28,11,13,-44,72,NLX
A. Mallari,8,189.47,24,75,32%,9,32,28%,15,18,83%,31,4,2,3,25,28,11,13,-44,72,NLX
L. Fonacier,7,189.15,21,51,41%,9,28,32%,11,13,85%,28,4,2,3,31,34,8,10,-11,62,NLX
J. Tiongson,11,219.55,24,66,36%,8,31,26%,9,10,90%,41,4,0,4,12,16,16,23,-72,65,NLX
C. Baguio,11,223.64,20,45,44%,8,21,38%,8,12,67%,24,8,5,9,20,29,17,12,-62,56,NLX
R. Soyud,11,118.45,21,41,51%,5,13,38%,9,14,64%,2,0,3,10,17,27,18,4,-41,56,NLX
A. Taulava,7,49.45,10,23,43%,8,18,44%,3,4,75%,5,2,3,6,12,18,6,7,-5,31,NLX
K. Ighalo,11,154.2,17,48,35%,4,21,19%,6,9,67%,10,7,1,10,26,36,11,11,-18,44,NLX
M. Miranda,9,105.37,13,36,36%,2,15,13%,2,3,67%,8,2,2,2,16,18,17,4,-17,30,NLX
R. Buenafe,7,68.34,7,22,32%,6,18,33%,0,0,0%,4,3,0,1,8,9,4,7,-43,20,NLX
J. Uyloan,5,80.72,4,19,21%,4,14,29%,2,3,67%,19,3,1,0,13,13,12,4,-16,14,NLX
E. Monfort,10,123.56,9,22,41%,4,9,44%,6,10,60%,19,6,0,5,18,23,16,3,-32,28,NLX
J. Rios,8,75.71,9,32,28%,2,10,20%,1,2,50%,13,3,5,4,6,10,9,6,-18,21,NLX
D. Marcelo,6,48.27,5,15,33%,2,6,33%,1,1,100%,2,1,0,6,6,12,7,3,-11,13,NLX
R. Al-Hussaini,1,6.75,1,4,25%,0,0,0%,0,0,0%,0,0,0,1,0,1,0,0,-12,2,NLX
A. Gotladera,5,30.06,4,10,40%,0,0,0%,0,0,0%,3,1,0,5,6,11,1,3,-21,8,NLX
K. Alas,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
J. Rios,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
