PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. White,11,33.24,10.27,19.0,54%,0.0,0.0,0%,3.18,5.55,57%,1.36,0.64,2.0,3.36,7.55,10.91,3.55,3.45,-4.18,23.73,NOR
S. Pringle,11,37.22,7.91,17.82,44%,2.55,7.91,32%,2.64,3.18,83%,5.73,1.73,0.27,1.0,4.55,5.55,2.09,3.82,-1.73,21.0,NOR
S. Anthony,11,32.4,6.45,14.64,44%,2.09,5.82,36%,3.45,5.18,67%,4.09,2.09,0.18,2.55,7.36,9.91,2.55,3.91,-0.18,18.45,NOR
M. Tautuaa,10,22.68,4.1,7.3,56%,0.6,2.1,29%,1.1,1.8,61%,2.1,0.3,0.4,2.1,6.0,8.1,3.4,1.2,-3.6,9.9,NOR
K. Nabong,6,27.73,2.67,7.17,37%,0.67,3.33,20%,1.33,2.0,67%,2.5,1.33,0.5,0.5,6.0,6.5,4.33,1.5,-0.33,7.33,NOR
J. Grey,11,14.55,2.82,5.55,51%,0.45,1.82,25%,0.91,1.91,48%,1.36,0.45,0.09,0.45,1.0,1.45,1.18,0.82,-0.45,7.0,NOR
P. Taha,2,26.99,3.5,11.0,32%,0.0,0.5,0%,0.0,0.0,0%,1.0,0.0,0.5,3.5,2.5,6.0,2.5,2.0,-2.5,7.0,NOR
J. Elorde,11,27.51,1.91,6.0,32%,0.82,3.18,26%,1.73,2.45,70%,4.55,1.36,0.09,0.91,2.91,3.82,3.09,2.36,2.91,6.36,NOR
G. Espinas,2,14.6,2.5,5.0,50%,0.0,1.0,0%,0.0,0.0,0%,1.5,0.5,1.0,0.5,1.5,2.0,2.5,2.0,8.0,5.0,NOR
N. Javelona,8,9.95,1.5,3.25,46%,1.0,2.0,50%,0.63,0.75,83%,1.38,0.25,0.0,0.0,0.75,0.75,1.63,1.0,-1.13,4.63,NOR
B. Guinto,10,9.01,1.4,2.5,56%,0.0,0.0,0%,0.7,1.1,64%,0.2,0.2,0.4,1.2,0.9,2.1,1.9,0.3,0.4,3.5,NOR
R. Arana,9,9.33,1.56,3.11,50%,0.22,0.67,33%,0.11,0.11,100%,1.11,0.56,0.0,0.67,0.89,1.56,1.56,0.33,-0.11,3.44,NOR
J. Sargent,7,9.61,1.0,2.57,39%,0.29,1.0,29%,0.0,0.0,0%,0.71,0.29,0.43,0.57,1.14,1.71,1.29,0.57,1.86,2.29,NOR
L. Flores,3,3.1,0.33,0.67,50%,0.0,0.0,0%,0.67,1.33,50%,0.0,0.0,0.0,1.0,1.33,2.33,1.0,0.0,0.0,1.33,NOR
J. Viernes,2,11.37,0.5,1.5,33%,0.0,0.0,0%,0.0,0.0,0%,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.5,6.0,1.0,NOR
M. Juico,2,3.18,0.5,0.5,100%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,-2.0,1.0,NOR
J. Gabayni,5,4.96,0.4,1.6,25%,0.0,0.0,0%,0.2,0.8,25%,0.8,0.0,0.8,0.8,1.2,2.0,1.0,0.2,1.2,1.0,NOR
J. Teng,10,6.39,0.3,2.0,15%,0.3,1.7,18%,0.0,0.0,0%,0.2,0.0,0.0,0.1,0.3,0.4,0.7,0.2,-3.8,0.9,NOR
J. Bulawan,1,4.13,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0%,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-1.0,0.0,NOR
