PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. White,11,365.68,113,209,54%,0,0,0%,35,61,57%,15,7,22,37,83,120,39,38,-46,261,NOR
S. Pringle,11,409.4,87,196,44%,28,87,32%,29,35,83%,63,19,3,11,50,61,23,42,-19,231,NOR
S. Anthony,11,356.44,71,161,44%,23,64,36%,38,57,67%,45,23,2,28,81,109,28,43,-2,203,NOR
M. Tautuaa,10,226.76,41,73,56%,6,21,29%,11,18,61%,21,3,4,21,60,81,34,12,-36,99,NOR
K. Nabong,6,166.38,16,43,37%,4,20,20%,8,12,67%,15,8,3,3,36,39,26,9,-2,44,NOR
J. Grey,11,160.08,31,61,51%,5,20,25%,10,21,48%,15,5,1,5,11,16,13,9,-5,77,NOR
P. Taha,2,53.98,7,22,32%,0,1,0%,0,0,0%,2,0,1,7,5,12,5,4,-5,14,NOR
J. Elorde,11,302.61,21,66,32%,9,35,26%,19,27,70%,50,15,1,10,32,42,34,26,32,70,NOR
G. Espinas,2,29.2,5,10,50%,0,2,0%,0,0,0%,3,1,2,1,3,4,5,4,16,10,NOR
N. Javelona,8,79.62,12,26,46%,8,16,50%,5,6,83%,11,2,0,0,6,6,13,8,-9,37,NOR
B. Guinto,10,90.14,14,25,56%,0,0,0%,7,11,64%,2,2,4,12,9,21,19,3,4,35,NOR
R. Arana,9,83.96,14,28,50%,2,6,33%,1,1,100%,10,5,0,6,8,14,14,3,-1,31,NOR
J. Sargent,7,67.27,7,18,39%,2,7,29%,0,0,0%,5,2,3,4,8,12,9,4,13,16,NOR
L. Flores,3,9.31,1,2,50%,0,0,0%,2,4,50%,0,0,0,3,4,7,3,0,0,4,NOR
J. Viernes,2,22.74,1,3,33%,0,0,0%,0,0,0%,2,0,0,0,1,1,1,3,12,2,NOR
M. Juico,2,6.35,1,1,100%,0,0,0%,0,0,0%,0,0,0,1,0,1,1,1,-4,2,NOR
J. Gabayni,5,24.82,2,8,25%,0,0,0%,1,4,25%,4,0,4,4,6,10,5,1,6,5,NOR
J. Teng,10,63.86,3,20,15%,3,17,18%,0,0,0%,2,0,0,1,3,4,7,2,-38,9,NOR
J. Bulawan,1,4.13,0,1,0%,0,0,0%,0,0,0%,1,0,0,1,0,1,2,0,-1,0,NOR
