PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
E. Phelps,7,41.86,10.57,22.86,46%,0.0,1.29,0%,8.71,15.14,58%,6.29,1.0,2.0,5.14,12.86,18.0,2.71,4.14,-1.57,29.86,PHX
J. White,4,32.81,9.25,18.0,51%,0.0,0.25,0%,6.75,10.5,64%,2.25,1.75,2.5,4.75,8.5,13.25,5.0,2.0,5.5,25.25,PHX
M. Wright,11,33.05,7.64,17.27,44%,3.0,8.18,37%,2.55,3.55,72%,4.55,1.64,0.09,0.55,4.45,5.0,2.55,3.55,2.45,20.82,PHX
J. Perkins,11,20.95,5.09,9.82,52%,0.73,1.73,42%,0.91,1.55,59%,0.91,0.09,0.36,2.91,3.09,6.0,4.18,1.36,-0.55,11.82,PHX
J. Chan,9,30.89,4.0,10.56,38%,1.89,5.44,35%,1.67,2.33,71%,4.11,1.22,0.44,0.78,3.67,4.44,2.11,2.33,-0.56,11.56,PHX
R. Jazul,11,24.47,2.45,8.45,29%,1.45,5.73,25%,1.55,1.91,81%,2.91,1.09,0.0,0.73,1.82,2.55,3.0,1.27,-1.91,7.91,PHX
W. Wilson,11,23.88,1.91,5.18,37%,0.36,1.73,21%,1.0,1.27,79%,1.0,1.0,0.27,2.27,2.73,5.0,2.0,1.09,1.45,5.18,PHX
J. Chua,11,12.19,2.09,5.0,42%,0.0,0.0,0%,0.27,0.82,33%,0.27,0.36,0.09,1.73,1.36,3.09,2.73,1.55,-7.36,4.45,PHX
D. Kramer,11,13.87,1.73,3.55,49%,0.0,0.0,0%,0.45,0.45,100%,0.64,0.09,0.0,1.64,2.55,4.18,2.18,1.27,0.45,3.91,PHX
L. Revilla,11,17.55,1.27,3.45,37%,0.45,1.09,42%,0.64,1.18,54%,3.0,0.91,0.09,0.27,2.27,2.55,2.55,1.18,-0.91,3.64,PHX
R. Guevarra,2,3.92,1.5,2.5,60%,0.5,1.0,50%,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,3.5,PHX
M. Gamboa,4,6.55,1.0,2.0,50%,0.25,0.5,50%,0.5,0.5,100%,1.75,0.5,0.0,0.25,0.5,0.75,2.0,0.5,7.0,2.75,PHX
J. Intal,10,9.74,0.8,2.9,28%,0.3,1.1,27%,0.8,1.1,73%,1.4,0.6,0.4,0.5,1.0,1.5,1.0,0.2,-0.8,2.7,PHX
J. Mendoza,10,10.57,1.1,1.7,65%,0.0,0.0,0%,0.4,0.8,50%,0.5,0.5,0.2,1.0,1.1,2.1,1.0,0.1,-4.7,2.6,PHX
J. Eriobu,5,6.32,1.0,2.8,36%,0.0,0.8,0%,0.0,0.0,0%,0.2,0.2,0.0,0.4,1.2,1.6,0.4,0.4,1.0,2.0,PHX
G. Alolino,3,7.19,0.67,3.67,18%,0.67,1.67,40%,0.0,0.33,0%,1.33,0.67,0.0,0.0,0.33,0.33,0.67,0.0,-3.33,2.0,PHX
K. Dehesa,5,5.69,0.2,2.2,9%,0.0,1.2,0%,1.4,1.6,88%,0.6,0.2,0.2,0.2,1.0,1.2,0.8,0.8,-2.6,1.8,PHX
M. Hayes,1,3.48,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,PHX
J. Mendoza,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
J. Cortes,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
C. Abueva,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
