PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
R. Johnson,11,35.27,8.0,16.82,48%,1.0,4.73,21%,6.18,8.55,72%,3.91,0.82,1.45,5.36,11.82,17.18,3.18,4.0,6.64,23.18,ROS
R. Almazan,11,22.55,6.36,12.55,51%,0.73,2.27,32%,2.0,3.18,63%,0.82,0.45,1.09,3.18,4.73,7.91,2.36,2.18,2.64,15.45,ROS
C. Tiu,11,27.28,3.82,9.45,40%,2.09,4.91,43%,2.55,3.27,78%,5.36,1.09,0.27,0.45,2.91,3.36,2.82,2.64,7.09,12.27,ROS
M. Ahanmisi,11,28.19,3.82,8.64,44%,1.09,3.09,35%,2.0,2.73,73%,3.0,1.91,0.18,1.36,3.64,5.0,2.55,2.18,2.55,10.73,ROS
J. Yap,11,17.19,2.55,6.82,37%,1.27,3.27,39%,1.45,1.91,76%,1.0,0.45,0.09,0.45,1.09,1.55,0.91,0.82,2.27,7.82,ROS
E. Daquioag,11,19.68,2.91,7.36,40%,0.73,2.73,27%,1.27,2.09,61%,1.0,0.0,0.18,0.27,1.73,2.0,1.36,1.64,-2.09,7.82,ROS
B. Belga,11,19.45,2.55,8.64,29%,1.0,3.82,26%,0.82,1.27,64%,2.36,0.18,0.55,0.64,4.55,5.18,3.27,1.91,-1.55,6.91,ROS
G. Norwood,11,29.95,2.36,8.27,29%,1.0,4.09,24%,1.09,2.0,55%,4.27,1.0,0.36,1.64,5.09,6.73,1.64,1.36,3.27,6.82,ROS
J. Ponferada,10,8.25,1.6,2.6,62%,0.4,0.9,44%,0.5,0.7,71%,0.5,0.2,0.0,0.9,1.1,2.0,2.0,0.6,0.1,4.1,ROS
R. Nambatac,8,9.02,1.0,2.25,44%,0.25,0.75,33%,0.5,0.75,67%,0.63,0.5,0.0,0.5,1.63,2.13,1.13,0.75,-1.88,2.75,ROS
N. Torres,7,10.45,1.0,3.0,33%,0.14,1.29,11%,0.43,1.0,43%,0.43,0.29,0.57,0.86,1.71,2.57,1.86,0.29,-3.86,2.57,ROS
A. Washington,8,8.39,0.88,2.75,32%,0.5,1.75,29%,0.25,0.5,50%,0.5,0.5,0.13,0.63,1.0,1.63,1.13,0.25,-3.5,2.5,ROS
S. Onwubere,5,8.67,0.8,1.6,50%,0.6,1.4,43%,0.2,0.6,33%,0.4,1.0,0.2,0.4,1.0,1.4,1.2,1.0,-3.6,2.4,ROS
D. Maiquez,1,9.6,1.0,3.0,33%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,ROS
M. Borboran,4,11.32,0.75,1.25,60%,0.25,0.75,33%,0.0,0.0,0%,0.5,0.25,0.0,0.25,0.75,1.0,0.5,0.5,10.0,1.75,ROS
J. Casiño,6,6.5,0.17,1.0,17%,0.0,0.67,0%,1.17,1.5,78%,0.67,0.33,0.0,0.0,0.67,0.67,0.67,0.33,-1.67,1.5,ROS
R. Matias,1,2.82,0.0,1.0,0%,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,ROS
J. Casiño,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS
