PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
R. Johnson,11,387.93,88,185,48%,11,52,21%,68,94,72%,43,9,16,59,130,189,35,44,73,255,ROS
R. Almazan,11,248.06,70,138,51%,8,25,32%,22,35,63%,9,5,12,35,52,87,26,24,29,170,ROS
C. Tiu,11,300.07,42,104,40%,23,54,43%,28,36,78%,59,12,3,5,32,37,31,29,78,135,ROS
M. Ahanmisi,11,310.07,42,95,44%,12,34,35%,22,30,73%,33,21,2,15,40,55,28,24,28,118,ROS
J. Yap,11,189.12,28,75,37%,14,36,39%,16,21,76%,11,5,1,5,12,17,10,9,25,86,ROS
E. Daquioag,11,216.46,32,81,40%,8,30,27%,14,23,61%,11,0,2,3,19,22,15,18,-23,86,ROS
B. Belga,11,213.92,28,95,29%,11,42,26%,9,14,64%,26,2,6,7,50,57,36,21,-17,76,ROS
G. Norwood,11,329.43,26,91,29%,11,45,24%,12,22,55%,47,11,4,18,56,74,18,15,36,75,ROS
J. Ponferada,10,82.52,16,26,62%,4,9,44%,5,7,71%,5,2,0,9,11,20,20,6,1,41,ROS
R. Nambatac,8,72.12,8,18,44%,2,6,33%,4,6,67%,5,4,0,4,13,17,9,6,-15,22,ROS
N. Torres,7,73.18,7,21,33%,1,9,11%,3,7,43%,3,2,4,6,12,18,13,2,-27,18,ROS
A. Washington,8,67.11,7,22,32%,4,14,29%,2,4,50%,4,4,1,5,8,13,9,2,-28,20,ROS
S. Onwubere,5,43.36,4,8,50%,3,7,43%,1,3,33%,2,5,1,2,5,7,6,5,-18,12,ROS
D. Maiquez,1,9.6,1,3,33%,0,0,0%,0,0,0%,0,0,0,1,2,3,4,2,4,2,ROS
M. Borboran,4,45.26,3,5,60%,1,3,33%,0,0,0%,2,1,0,1,3,4,2,2,40,7,ROS
J. Casiño,6,38.98,1,6,17%,0,4,0%,7,9,78%,4,2,0,0,4,4,4,2,-10,9,ROS
R. Matias,1,2.82,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,-1,0,ROS
J. Casiño,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
