PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Smith,6,27.62,6.5,9.0,72%,0.0,0.0,0%,4.33,6.5,67%,2.83,0.5,1.33,4.33,6.5,10.83,3.33,2.17,6.83,17.33,TNT
W. Castro,10,25.46,4.6,11.1,41%,1.2,4.2,29%,4.1,4.5,91%,5.7,1.1,0.2,0.7,3.8,4.5,1.3,2.4,5.5,14.5,TNT
J. Rosario,11,25.27,5.82,11.64,50%,1.55,4.73,33%,1.0,1.64,61%,1.36,0.27,0.27,2.18,5.27,7.45,3.45,0.91,2.45,14.18,TNT
J. Tyler,4,28.01,4.5,11.0,41%,0.0,0.5,0%,3.25,5.25,62%,1.0,1.0,0.75,4.25,9.0,13.25,4.0,4.0,8.5,12.25,TNT
T. Romeo,11,21.32,3.91,11.18,35%,1.36,5.18,26%,2.55,3.0,85%,5.0,0.73,0.18,0.27,2.64,2.91,1.55,3.27,-1.36,11.73,TNT
R. Pogoy,11,21.29,4.36,10.64,41%,0.91,3.45,26%,1.55,2.45,63%,1.36,1.18,0.18,1.27,2.82,4.09,1.55,1.27,6.45,11.18,TNT
J. Cruz,11,19.92,3.82,7.09,54%,1.64,3.36,49%,0.55,0.73,75%,3.36,1.09,0.09,0.91,2.55,3.45,2.0,2.09,1.82,9.82,TNT
A. Semerad,10,16.15,2.6,5.6,46%,1.9,3.9,49%,0.8,0.9,89%,0.4,0.4,0.0,0.2,1.4,1.6,2.5,0.4,3.2,7.9,TNT
D. Trollano,11,17.63,2.45,6.18,40%,0.91,2.91,31%,1.27,1.73,74%,0.73,0.55,0.09,1.09,2.45,3.55,2.09,0.64,3.36,7.09,TNT
K. Williams,6,18.99,2.67,6.33,42%,0.33,1.0,33%,1.17,2.67,44%,1.5,1.0,0.33,0.83,4.83,5.67,0.83,1.5,0.17,6.83,TNT
R. Reyes,11,15.2,1.91,3.55,54%,1.73,3.09,56%,0.73,0.82,89%,1.18,1.45,0.09,0.0,1.91,1.91,2.73,0.45,3.09,6.27,TNT
Y. Taha,5,10.43,1.4,2.8,50%,0.0,0.0,0%,0.2,0.2,100%,0.2,0.0,0.2,1.4,1.2,2.6,1.4,0.6,-2.2,3.0,TNT
H. Carey,10,9.76,0.7,1.6,44%,0.1,0.1,100%,0.4,0.8,50%,0.5,0.0,0.3,0.8,1.9,2.7,1.1,0.5,3.9,1.9,TNT
F. Golla,7,7.02,0.71,1.86,38%,0.29,0.71,40%,0.14,0.29,50%,0.71,0.14,0.14,0.57,1.29,1.86,0.86,0.29,3.14,1.86,TNT
R. Garcia,9,9.69,0.78,2.89,27%,0.11,1.11,10%,0.11,0.22,50%,2.11,0.11,0.11,0.11,1.0,1.11,1.22,0.78,0.67,1.78,TNT
P. Paredes,9,8.12,0.78,1.67,47%,0.11,0.11,100%,0.0,0.0,0%,0.11,0.0,0.22,0.44,1.11,1.56,2.33,0.44,-2.56,1.67,TNT
A. Nuyles,2,6.96,0.5,2.0,25%,0.0,0.5,0%,0.0,0.0,0%,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-2.5,1.0,TNT
J. Saitanan,5,5.57,0.2,1.4,14%,0.0,0.2,0%,0.2,0.8,25%,0.0,0.2,0.4,0.6,1.0,1.6,2.6,0.4,-3.2,0.6,TNT
J. Cruz,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
A. Tamsi,1,4.13,0.0,3.0,0%,0.0,3.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,0.0,TNT
