PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Fuller,8,38.99,12.38,23.38,53%,0.63,1.88,33%,6.5,8.88,73%,4.75,1.38,1.13,4.5,12.63,17.13,3.25,2.63,-0.5,31.88,NLX
O. Ashaolu,3,36.67,11.0,20.0,55%,1.0,2.33,43%,4.0,7.33,55%,3.0,0.67,0.33,4.0,11.0,15.0,3.67,4.67,0.67,27.0,NLX
L. Fonacier,11,26.34,4.82,10.0,48%,2.36,5.64,42%,0.91,1.0,91%,3.09,0.73,0.18,0.55,2.82,3.36,1.27,1.18,-2.09,12.91,NLX
K. Ighalo,10,19.4,2.8,6.5,43%,1.3,3.8,34%,1.8,2.1,86%,1.3,0.4,0.0,1.6,2.5,4.1,2.0,1.4,-0.6,8.7,NLX
J. Quinahan,11,22.3,3.36,8.73,39%,1.09,3.09,35%,0.82,1.18,69%,2.64,0.18,1.0,0.55,4.27,4.82,2.36,1.09,-6.36,8.64,NLX
P. Galanza,11,17.88,2.82,6.73,42%,1.36,4.36,31%,0.73,1.0,73%,1.64,0.82,0.18,0.45,1.0,1.45,1.73,1.0,0.64,7.73,NLX
M. Miranda,10,17.97,2.7,5.4,50%,1.2,2.8,43%,0.3,0.3,100%,0.8,0.2,0.4,1.2,2.1,3.3,1.9,0.8,1.7,6.9,NLX
P. Paniamogan,11,14.37,2.18,5.45,40%,0.73,3.0,24%,1.18,1.55,76%,1.91,0.73,0.27,0.27,1.18,1.45,2.09,1.0,0.09,6.27,NLX
A. Mallari,7,18.37,2.43,7.0,35%,0.29,2.57,11%,1.0,1.86,54%,3.0,1.29,0.14,1.71,3.14,4.86,1.57,1.71,-2.29,6.14,NLX
M. Tallo,11,18.06,2.09,5.45,38%,0.73,2.36,31%,1.0,1.82,55%,3.36,0.82,0.09,0.45,1.45,1.91,2.36,2.09,1.55,5.91,NLX
J. Tiongson,11,14.84,2.0,4.91,41%,1.0,3.09,32%,0.36,0.64,57%,1.73,0.36,0.0,0.18,1.82,2.0,1.36,0.82,-4.27,5.36,NLX
J. Rios,1,6.97,2.0,3.0,67%,1.0,2.0,50%,0.0,0.0,0%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,5.0,NLX
C. Baguio,9,12.11,1.22,3.22,38%,0.56,1.56,36%,0.44,0.56,80%,1.89,0.33,0.0,0.33,1.56,1.89,1.22,0.89,-3.78,3.44,NLX
A. Taulava,6,8.31,0.67,2.5,27%,0.5,2.0,25%,0.83,1.33,63%,0.67,0.17,0.33,0.67,2.5,3.17,1.17,0.33,2.33,2.67,NLX
E. Monfort,5,7.33,1.0,2.2,45%,0.6,1.8,33%,0.0,0.2,0%,1.8,0.4,0.0,0.4,0.6,1.0,0.6,0.2,0.0,2.6,NLX
D. Marcelo,8,11.3,1.0,2.63,38%,0.13,0.75,17%,0.25,0.5,50%,0.88,0.38,0.5,1.0,1.5,2.5,2.88,1.13,-0.13,2.38,NLX
R. Soyud,6,5.44,0.67,1.0,67%,0.0,0.0,0%,0.33,0.67,50%,0.17,0.0,0.0,0.33,1.33,1.67,2.33,0.83,2.5,1.67,NLX
A. Gotladera,2,3.05,0.5,0.5,100%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.5,1.0,NLX
E. Villanueva,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
R. Reyes,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
K. Alas,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
H. Arboleda,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
J. Rios,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
R. Akl,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
