PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Fuller,8,311.9,99,187,53%,5,15,33%,52,71,73%,38,11,9,36,101,137,26,21,-4,255,NLX
O. Ashaolu,3,110.02,33,60,55%,3,7,43%,12,22,55%,9,2,1,12,33,45,11,14,2,81,NLX
L. Fonacier,11,289.74,53,110,48%,26,62,42%,10,11,91%,34,8,2,6,31,37,14,13,-23,142,NLX
K. Ighalo,10,193.97,28,65,43%,13,38,34%,18,21,86%,13,4,0,16,25,41,20,14,-6,87,NLX
J. Quinahan,11,245.3,37,96,39%,12,34,35%,9,13,69%,29,2,11,6,47,53,26,12,-70,95,NLX
P. Galanza,11,196.64,31,74,42%,15,48,31%,8,11,73%,18,9,2,5,11,16,19,11,7,85,NLX
M. Miranda,10,179.68,27,54,50%,12,28,43%,3,3,100%,8,2,4,12,21,33,19,8,17,69,NLX
P. Paniamogan,11,158.09,24,60,40%,8,33,24%,13,17,76%,21,8,3,3,13,16,23,11,1,69,NLX
A. Mallari,7,128.59,17,49,35%,2,18,11%,7,13,54%,21,9,1,12,22,34,11,12,-16,43,NLX
M. Tallo,11,198.62,23,60,38%,8,26,31%,11,20,55%,37,9,1,5,16,21,26,23,17,65,NLX
J. Tiongson,11,163.2,22,54,41%,11,34,32%,4,7,57%,19,4,0,2,20,22,15,9,-47,59,NLX
J. Rios,1,6.97,2,3,67%,1,2,50%,0,0,0%,0,1,0,0,0,0,0,0,-3,5,NLX
C. Baguio,9,109.03,11,29,38%,5,14,36%,4,5,80%,17,3,0,3,14,17,11,8,-34,31,NLX
A. Taulava,6,49.85,4,15,27%,3,12,25%,5,8,63%,4,1,2,4,15,19,7,2,14,16,NLX
E. Monfort,5,36.65,5,11,45%,3,9,33%,0,1,0%,9,2,0,2,3,5,3,1,0,13,NLX
D. Marcelo,8,90.4,8,21,38%,1,6,17%,2,4,50%,7,3,4,8,12,20,23,9,-1,19,NLX
R. Soyud,6,32.62,4,6,67%,0,0,0%,2,4,50%,1,0,0,2,8,10,14,5,15,10,NLX
A. Gotladera,2,6.1,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,1,3,2,NLX
E. Villanueva,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
R. Reyes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
K. Alas,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
H. Arboleda,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
J. Rios,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
R. Akl,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
