PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
K. Murphy,7,284.1,75,164,46%,33,70,47%,39,56,70%,35,4,4,8,50,58,28,33,18,222,SMB
C. Standhardinger,11,389.67,101,169,60%,0,0,0%,54,88,61%,18,10,7,68,82,150,40,27,47,256,SMB
A. Reid,4,145.23,37,89,42%,7,27,26%,4,5,80%,22,12,1,13,37,50,11,15,42,85,SMB
M. Lassiter,10,342.73,55,122,45%,29,77,38%,12,14,86%,31,13,7,13,33,46,33,9,30,151,SMB
A. Cabagnot,11,320.85,53,143,37%,14,48,29%,30,35,86%,49,9,1,9,35,44,19,14,51,150,SMB
A. Santos,11,289.72,56,150,37%,30,100,30%,3,5,60%,9,14,21,9,34,43,28,11,-28,145,SMB
C. Ross,11,308.27,30,58,52%,13,30,43%,7,8,88%,61,17,1,8,40,48,23,25,4,80,SMB
K. Nabong,11,195.03,30,78,38%,10,35,29%,7,9,78%,10,7,3,13,33,46,36,15,34,77,SMB
V. Pessumal,6,73.72,9,23,39%,7,17,41%,0,1,0%,1,2,2,1,2,3,10,0,-15,25,SMB
B. Heruela,9,90.92,6,24,25%,3,11,27%,5,8,63%,11,6,2,7,11,18,18,4,9,20,SMB
Y. de Ocampo,3,14.78,2,9,22%,1,3,33%,0,0,0%,1,0,0,0,4,4,2,0,2,5,SMB
J. Fajardo,2,27.17,1,5,20%,0,0,0%,1,2,50%,2,0,1,2,5,7,6,1,3,3,SMB
M. Ganuelas-Rosser,6,33.67,2,2,100%,0,0,0%,0,0,0%,2,2,0,0,3,3,6,2,-11,4,SMB
L. Vigil,4,6.82,1,3,33%,0,0,0%,0,0,0%,3,0,1,0,0,0,1,2,-7,2,SMB
B. Mamaril,3,6.17,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,3,0,-13,0,SMB
C. Lanete,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
N. Omolon,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
D. Semerad,1,0.7,0,0,0%,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,2,0,SMB
K. Agovida,1,0.47,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,SMB
M. Abdeen,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
E. Millsap,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
C. Rhodes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
