PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Blakely,5,39.65,8.4,14.6,58%,0.8,2.2,36%,5.4,8.8,61%,6.6,2.2,1.2,5.6,9.6,15.2,4.2,3.4,-2.6,23.0,TNT
T. Romeo,9,30.93,7.33,17.33,42%,3.67,8.78,42%,3.11,4.44,70%,5.22,1.0,0.11,0.33,3.11,3.44,2.56,4.11,-3.89,21.44,TNT
S. Davis,4,33.08,6.25,18.75,33%,1.0,5.5,18%,4.75,8.75,54%,2.75,0.25,0.25,1.75,9.0,10.75,1.75,3.5,-18.5,18.25,TNT
W. Castro,8,29.66,4.0,12.13,33%,1.75,5.0,35%,4.75,5.13,93%,5.38,1.13,0.38,0.75,2.75,3.5,1.63,1.75,-10.38,14.5,TNT
R. Pogoy,11,26.93,5.64,13.09,43%,1.36,4.82,28%,0.91,1.55,59%,1.27,1.64,0.55,2.91,2.82,5.73,2.73,0.64,-6.55,13.55,TNT
M. Glover,1,28.55,4.0,12.0,33%,0.0,1.0,0%,3.0,6.0,50%,1.0,1.0,0.0,6.0,9.0,15.0,4.0,3.0,-26.0,11.0,TNT
J. Rosario,11,25.31,4.18,10.09,41%,1.45,4.91,30%,0.91,1.45,63%,0.55,0.45,0.45,1.64,3.36,5.0,4.18,0.82,1.91,10.73,TNT
A. Semerad,7,22.83,1.86,5.71,33%,1.14,3.86,30%,1.43,1.86,77%,0.71,1.14,0.14,1.86,3.14,5.0,2.43,0.86,-9.14,6.29,TNT
J. Cruz,4,19.96,1.75,8.0,22%,0.5,3.75,13%,1.5,1.5,100%,1.5,1.75,0.25,1.25,1.75,3.0,3.25,2.0,-2.25,5.5,TNT
D. Trollano,6,16.07,1.83,6.0,31%,0.83,3.5,24%,0.5,1.0,50%,0.5,0.5,0.17,0.83,2.5,3.33,2.17,1.33,1.17,5.0,TNT
R. Garcia,10,11.04,1.6,4.2,38%,0.6,2.4,25%,1.0,1.3,77%,1.7,0.4,0.0,0.3,0.6,0.9,1.3,0.9,1.3,4.8,TNT
K. Williams,11,20.44,1.64,6.18,26%,0.36,1.55,24%,0.73,1.73,42%,0.55,0.73,0.64,1.55,4.82,6.36,2.55,0.73,-9.82,4.36,TNT
A. Tamsi,5,5.57,1.6,2.6,62%,0.6,1.2,50%,0.2,0.2,100%,0.4,0.2,0.0,0.0,1.0,1.0,0.6,0.4,2.6,4.0,TNT
H. Carey,11,10.06,1.0,2.82,35%,0.0,0.18,0%,1.09,1.64,67%,0.55,0.18,0.18,1.09,2.0,3.09,1.18,0.36,-4.27,3.09,TNT
R. Reyes,8,14.35,0.63,2.63,24%,0.5,2.13,24%,0.25,0.25,100%,0.75,0.5,0.0,0.25,1.75,2.0,2.75,0.5,-5.0,2.0,TNT
F. Golla,8,7.41,0.25,1.13,22%,0.13,0.75,17%,0.0,0.0,0%,0.38,0.13,0.0,0.63,1.25,1.88,1.38,0.25,0.5,0.63,TNT
P. Paredes,6,4.88,0.17,0.17,100%,0.0,0.0,0%,0.0,0.0,0%,0.17,0.0,0.17,0.33,1.17,1.5,0.33,0.0,3.0,0.33,TNT
J. Cruz,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
Y. Taha,1,5.13,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,TNT
B. Heruela,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
J. Reyes,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
M. Madanly,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
C. Sumalinog,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
M. Little,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
M. Ammons,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
J. Saitanan,1,3.88,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,TNT
D. Greene,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
