PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
V. Manuel,11,5.0,65,144,45%,0,0,0%,23,29,79%,17,13,4,17,32,49,20,16,13,153,ALA
C. Abueva,9,2.85,48,115,42%,6,21,29%,22,38,58%,25,15,12,28,65,93,31,33,36,124,ALA
J. Teng,10,0.0,50,110,45%,5,17,29%,26,35,74%,17,10,1,11,32,43,20,19,-21,131,ALA
J. Casio,11,5.0,40,105,38%,22,60,37%,28,31,90%,47,9,2,8,37,45,26,15,60,130,ALA
C. Banchero,9,2.15,39,79,49%,3,8,38%,23,31,74%,33,15,0,11,24,35,25,16,50,104,ALA
S. Enciso,10,0.3,25,67,37%,16,46,35%,5,8,63%,31,5,1,1,18,19,12,9,0,71,ALA
S. Thoss,11,0.0,33,74,45%,1,5,20%,11,14,79%,13,5,4,9,35,44,26,14,22,78,ALA
K. Racal,11,5.0,21,52,40%,10,26,38%,16,22,73%,17,13,2,14,18,32,17,6,59,68,ALA
C. Cruz,10,0.0,22,52,42%,11,27,41%,2,4,50%,6,5,1,11,39,50,21,11,17,57,ALA
R. Pascual,4,0.0,7,15,47%,5,12,42%,2,2,100%,2,1,1,3,5,8,5,2,-12,21,ALA
M. Magat,6,0.0,13,28,46%,3,8,38%,1,2,50%,4,1,4,5,16,21,10,4,-3,30,ALA
J. Pascual,9,2.15,12,30,40%,1,2,50%,3,10,30%,8,6,5,15,22,37,10,11,23,28,ALA
A. Galliguez,4,0.0,5,13,38%,2,7,29%,0,0,0%,2,1,0,1,3,4,7,5,-14,12,ALA
N. Baclao,6,0.0,8,18,44%,0,0,0%,0,1,0%,7,1,8,8,16,24,9,1,-17,16,ALA
C. Exciminiano,11,2.55,10,38,26%,3,18,17%,6,10,60%,15,7,2,5,18,23,22,9,30,29,ALA
D. Potts,8,0.0,4,16,25%,1,6,17%,4,7,57%,6,3,0,2,3,5,5,4,-3,13,ALA
S. Eman,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
D. Hontiveros,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
E. Menk,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
T. dela Cruz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
J. Vanlandingham,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
L. Henton,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
J. Mendoza,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
C. Jefferson,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
Y. Andrada,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ALA
