PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Aguilar,11,1.16,7.18,14.64,49%,0.27,1.55,18%,4.64,6.18,75%,2.73,0.55,1.36,2.27,5.82,8.09,3.0,3.27,3.09,19.27,GIN
G. Slaughter,7,0.0,6.29,13.14,48%,0.0,0.14,0%,4.14,6.29,66%,3.29,0.14,1.71,3.86,6.57,10.43,1.43,2.43,7.86,16.71,GIN
L. Tenorio,11,1.36,4.91,13.27,37%,2.73,6.91,39%,2.27,2.55,89%,5.18,1.73,0.27,1.27,3.0,4.27,1.91,3.45,2.64,14.82,GIN
S. Thompson,11,1.09,4.36,9.45,46%,0.91,2.45,37%,1.55,2.36,65%,5.73,1.18,0.09,2.55,8.64,11.18,2.27,2.55,2.09,11.18,GIN
J. Devance,2,5.31,4.0,12.0,33%,0.5,4.5,11%,1.0,1.5,67%,4.5,0.5,1.0,3.0,5.0,8.0,1.0,4.0,4.0,9.5,GIN
J. Manuel,1,0.0,3.0,6.0,50%,1.0,2.0,50%,1.0,1.0,100%,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,-2.0,8.0,GIN
J. Cruz,11,0.52,3.36,8.0,42%,0.0,0.0,0%,1.09,1.36,80%,1.45,0.18,0.18,1.91,3.64,5.55,1.45,0.82,0.36,7.82,GIN
K. Ferrer,11,0.76,2.45,6.36,39%,1.18,4.18,28%,0.82,1.36,60%,2.55,1.0,0.18,1.27,2.27,3.55,1.36,1.91,-0.45,6.91,GIN
A. Mariano,7,0.13,2.29,5.29,43%,0.0,0.29,0%,1.29,2.14,60%,1.43,0.43,0.14,1.71,3.71,5.43,1.29,1.57,3.57,5.86,GIN
R. Aguilar,9,0.0,1.78,4.44,40%,0.67,2.56,26%,0.11,0.11,100%,0.44,0.11,0.22,0.44,1.22,1.67,1.89,1.0,-1.89,4.33,GIN
S. Mercado,8,1.21,1.5,5.13,29%,0.25,1.13,22%,0.88,1.13,78%,2.38,0.88,0.25,0.25,2.5,2.75,2.38,1.75,-0.75,4.13,GIN
M. Caguioa,11,0.0,1.82,4.55,40%,0.09,0.55,17%,0.27,0.36,75%,0.45,0.36,0.09,0.82,2.64,3.45,1.27,1.0,2.45,4.0,GIN
P. Caperal,2,0.0,1.5,3.0,50%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.5,0.0,1.0,1.5,2.5,0.0,0.5,-1.5,3.0,GIN
P. Taha,8,0.0,1.13,2.25,50%,0.0,0.0,0%,0.13,0.13,100%,0.5,0.0,0.0,0.5,0.75,1.25,0.13,0.75,-0.75,2.38,GIN
R. Jamito,3,0.0,0.33,0.67,50%,0.0,0.0,0%,0.33,0.67,50%,0.0,0.0,0.0,0.67,0.67,1.33,1.33,1.0,-3.67,1.0,GIN
J. Wilson,5,0.0,0.0,0.8,0%,0.0,0.6,0%,0.4,0.4,100%,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,-1.0,0.4,GIN
A. Helterbrand,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
J. Brownlee,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
A. Dela Cruz,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
J. De Guzman,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
