PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Aguilar,11,12.77,79,161,49%,3,17,18%,51,68,75%,30,6,15,25,64,89,33,36,34,212,GIN
G. Slaughter,7,0.0,44,92,48%,0,1,0%,29,44,66%,23,1,12,27,46,73,10,17,55,117,GIN
L. Tenorio,11,15.0,54,146,37%,30,76,39%,25,28,89%,57,19,3,14,33,47,21,38,29,163,GIN
S. Thompson,11,12.0,48,104,46%,10,27,37%,17,26,65%,63,13,1,28,95,123,25,28,23,123,GIN
J. Devance,2,10.62,8,24,33%,1,9,11%,2,3,67%,9,1,2,6,10,16,2,8,8,19,GIN
J. Manuel,1,0.0,3,6,50%,1,2,50%,1,1,100%,2,0,0,0,1,1,3,0,-2,8,GIN
J. Cruz,11,5.7,37,88,42%,0,0,0%,12,15,80%,16,2,2,21,40,61,16,9,4,86,GIN
K. Ferrer,11,8.32,27,70,39%,13,46,28%,9,15,60%,28,11,2,14,25,39,15,21,-5,76,GIN
A. Mariano,7,0.92,16,37,43%,0,2,0%,9,15,60%,10,3,1,12,26,38,9,11,25,41,GIN
R. Aguilar,9,0.0,16,40,40%,6,23,26%,1,1,100%,4,1,2,4,11,15,17,9,-17,39,GIN
S. Mercado,8,9.68,12,41,29%,2,9,22%,7,9,78%,19,7,2,2,20,22,19,14,-6,33,GIN
M. Caguioa,11,0.0,20,50,40%,1,6,17%,3,4,75%,5,4,1,9,29,38,14,11,27,44,GIN
P. Caperal,2,0.0,3,6,50%,0,0,0%,0,0,0%,0,1,0,2,3,5,0,1,-3,6,GIN
P. Taha,8,0.0,9,18,50%,0,0,0%,1,1,100%,4,0,0,4,6,10,1,6,-6,19,GIN
R. Jamito,3,0.0,1,2,50%,0,0,0%,1,2,50%,0,0,0,2,2,4,4,3,-11,3,GIN
J. Wilson,5,0.0,0,4,0%,0,3,0%,2,2,100%,0,0,0,0,2,2,2,3,-5,2,GIN
A. Helterbrand,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,GIN
J. Brownlee,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,GIN
A. Dela Cruz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,GIN
J. De Guzman,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,GIN
