PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
P. Lee,8,0.0,6.13,12.5,49%,2.75,6.25,44%,2.38,2.88,83%,2.75,1.13,0.5,0.38,2.63,3.0,1.88,1.38,11.75,17.38,MAG
I. Sangalang,11,0.0,5.09,9.82,52%,0.0,0.0,0%,3.27,4.73,69%,1.27,0.55,0.82,3.09,4.27,7.36,2.82,2.09,1.82,13.45,MAG
A. Barroca,11,0.0,3.91,12.64,31%,1.0,4.73,21%,1.64,1.91,86%,4.18,1.91,0.27,1.18,2.64,3.82,3.18,2.64,4.82,10.45,MAG
R. dela Rosa,11,0.0,2.82,5.27,53%,0.73,1.45,50%,2.36,3.18,74%,1.09,0.73,0.27,0.64,2.09,2.73,1.36,0.64,6.45,8.73,MAG
J. Melton,11,0.0,3.0,7.0,43%,1.73,4.09,42%,0.91,1.09,83%,3.27,1.27,0.0,0.82,4.45,5.27,1.09,1.27,8.45,8.64,MAG
J. Jalalon,8,0.0,3.13,9.88,32%,0.38,3.13,12%,1.63,1.75,93%,2.88,1.63,0.0,0.75,2.75,3.5,2.88,1.75,0.5,8.25,MAG
A. Ramos,11,0.0,2.91,6.82,43%,1.09,3.18,34%,1.18,1.36,87%,0.27,0.18,0.36,0.64,1.45,2.09,2.36,0.64,3.82,8.09,MAG
P. Simon,11,0.0,2.27,5.64,40%,0.82,2.55,32%,1.09,1.36,80%,0.27,0.27,0.0,0.36,0.91,1.27,1.09,0.82,1.73,6.45,MAG
M. Pingris,10,0.0,2.5,5.3,47%,0.0,0.0,0%,1.2,2.1,57%,3.3,0.7,1.0,2.8,6.8,9.6,1.7,2.2,6.3,6.2,MAG
G. Mendoza,2,0.0,2.0,6.0,33%,0.5,3.0,17%,0.5,1.0,50%,1.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,2.5,5.0,MAG
R. Herndon,10,0.0,1.9,3.6,53%,0.6,1.4,43%,0.6,0.8,75%,0.3,0.4,0.0,0.8,1.9,2.7,1.0,0.5,4.2,5.0,MAG
R. Gamalinda,7,0.0,1.86,3.71,50%,0.14,0.86,17%,0.57,0.86,67%,0.86,0.0,0.0,1.29,1.0,2.29,1.14,0.14,1.57,4.43,MAG
R. Reavis,8,0.0,1.38,4.25,32%,0.0,0.0,0%,1.5,2.5,60%,1.5,0.63,1.38,2.88,5.0,7.88,1.5,1.0,4.88,4.25,MAG
K. Pascual,9,0.0,1.44,3.11,46%,0.0,0.0,0%,0.22,0.33,67%,0.44,0.44,0.33,0.89,0.56,1.44,1.78,0.22,-0.78,3.11,MAG
R. Brondial,10,0.0,0.3,1.3,23%,0.0,0.2,0%,0.2,0.2,100%,0.3,0.5,0.2,0.5,1.5,2.0,1.4,0.7,3.9,0.8,MAG
K. Jensen,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
J. Gaco,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
S. De Leon,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
M. Abundo,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
T. Mitchell,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
