PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
P. Lee,8,0.0,49,100,49%,22,50,44%,19,23,83%,22,9,4,3,21,24,15,11,94,139,MAG
I. Sangalang,11,0.0,56,108,52%,0,0,0%,36,52,69%,14,6,9,34,47,81,31,23,20,148,MAG
A. Barroca,11,0.0,43,139,31%,11,52,21%,18,21,86%,46,21,3,13,29,42,35,29,53,115,MAG
R. dela Rosa,11,0.0,31,58,53%,8,16,50%,26,35,74%,12,8,3,7,23,30,15,7,71,96,MAG
J. Melton,11,0.0,33,77,43%,19,45,42%,10,12,83%,36,14,0,9,49,58,12,14,93,95,MAG
J. Jalalon,8,0.0,25,79,32%,3,25,12%,13,14,93%,23,13,0,6,22,28,23,14,4,66,MAG
A. Ramos,11,0.0,32,75,43%,12,35,34%,13,15,87%,3,2,4,7,16,23,26,7,42,89,MAG
P. Simon,11,0.0,25,62,40%,9,28,32%,12,15,80%,3,3,0,4,10,14,12,9,19,71,MAG
M. Pingris,10,0.0,25,53,47%,0,0,0%,12,21,57%,33,7,10,28,68,96,17,22,63,62,MAG
G. Mendoza,2,0.0,4,12,33%,1,6,17%,1,2,50%,2,0,0,1,2,3,0,0,5,10,MAG
R. Herndon,10,0.0,19,36,53%,6,14,43%,6,8,75%,3,4,0,8,19,27,10,5,42,50,MAG
R. Gamalinda,7,0.0,13,26,50%,1,6,17%,4,6,67%,6,0,0,9,7,16,8,1,11,31,MAG
R. Reavis,8,0.0,11,34,32%,0,0,0%,12,20,60%,12,5,11,23,40,63,12,8,39,34,MAG
K. Pascual,9,0.0,13,28,46%,0,0,0%,2,3,67%,4,4,3,8,5,13,16,2,-7,28,MAG
R. Brondial,10,0.0,3,13,23%,0,2,0%,2,2,100%,3,5,2,5,15,20,14,7,39,8,MAG
K. Jensen,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
J. Gaco,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
S. De Leon,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
M. Abundo,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
T. Mitchell,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
