PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
N. Canaleta,11,0.0,4.64,11.0,42%,2.18,6.18,35%,0.73,0.82,89%,1.73,0.36,0.45,0.45,5.27,5.73,3.0,1.82,0.18,12.18,MER
C. Newsome,11,0.0,3.64,9.82,37%,0.82,2.27,36%,3.82,4.18,91%,4.27,0.64,0.27,1.73,4.73,6.45,3.73,1.73,0.73,11.91,MER
B. Amer,11,0.0,3.73,9.18,41%,1.82,4.09,44%,0.64,0.91,70%,5.18,0.55,0.09,0.73,3.09,3.82,1.0,1.55,-0.91,9.91,MER
G. Lanete,11,0.0,3.18,7.27,44%,1.55,4.45,35%,1.0,1.27,79%,0.64,0.45,0.0,0.09,1.64,1.73,2.09,0.18,-2.27,8.91,MER
R. Hugnatan,11,0.0,3.27,8.45,39%,1.27,3.73,34%,1.09,1.73,63%,1.82,0.18,0.36,0.55,2.73,3.27,1.64,0.91,-0.55,8.91,MER
C. Hodge,5,0.0,3.2,5.6,57%,0.2,0.8,25%,1.2,2.2,55%,1.8,0.8,0.6,1.8,3.4,5.2,3.2,0.6,-2.6,7.8,MER
J. Dillinger,8,0.0,2.75,7.88,35%,1.38,4.5,31%,0.5,0.63,80%,1.63,1.0,0.25,0.75,3.38,4.13,2.63,0.88,-2.5,7.38,MER
A. Caram,11,0.0,2.64,5.55,48%,0.18,1.27,14%,0.91,1.09,83%,1.18,0.55,0.09,0.18,0.64,0.82,1.55,1.0,-4.27,6.36,MER
M. Tolomia,11,0.0,2.0,6.09,33%,1.09,3.18,34%,1.18,1.55,76%,1.64,0.36,0.09,0.45,1.82,2.27,1.64,1.0,-2.73,6.27,MER
K. Bono,8,0.0,1.88,3.63,52%,0.25,0.5,50%,0.0,0.0,0%,0.25,0.13,0.25,0.25,1.13,1.38,1.88,0.25,-2.25,4.0,MER
N. Salva,10,0.0,1.6,3.9,41%,0.3,1.1,27%,0.3,0.5,60%,0.5,0.1,0.0,0.4,1.9,2.3,1.4,0.9,-1.1,3.8,MER
M. Baracael,10,0.0,1.4,2.8,50%,0.6,1.5,40%,0.2,0.2,100%,0.5,0.1,0.0,0.7,1.0,1.7,1.0,0.6,-2.5,3.6,MER
J. Ballesteros,10,0.0,1.2,2.1,57%,0.0,0.0,0%,0.8,1.0,80%,0.2,0.1,0.9,2.6,4.8,7.4,1.6,1.0,-1.8,3.2,MER
B. Faundo,8,0.0,1.5,3.88,39%,0.13,0.25,50%,0.0,0.0,0%,0.25,0.38,0.13,0.38,1.38,1.75,2.0,0.5,-0.75,3.13,MER
J. Sedurifa,5,0.0,0.4,1.8,22%,0.2,0.8,25%,1.4,2.8,50%,0.4,0.0,0.2,0.6,0.6,1.2,0.6,0.4,-4.2,2.4,MER
J. Yeo,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
J. Uyloan,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
R. Buenafe,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
J. Alapag,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
A. Durham,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
M. Jamshidi,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
C. Lutz,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
R. de Ocampo,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
J. Ferriols,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
A. Stepheson,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
S. Atkins,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
M. Baracael,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
