PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
K. Ravena,11,0.0,5.36,12.27,44%,1.18,3.45,34%,3.55,4.45,80%,5.36,1.91,0.18,0.09,3.36,3.45,2.18,2.09,-0.55,15.45,NLX
J. Quinahan,11,0.0,6.0,14.0,43%,0.18,2.18,8%,2.09,2.91,72%,2.09,0.36,1.18,1.36,5.09,6.45,3.45,1.73,-0.73,14.27,NLX
K. Alas,11,0.0,4.18,10.09,41%,1.09,3.91,28%,2.0,2.64,76%,2.45,0.64,0.36,1.18,3.64,4.82,1.91,2.55,-2.45,11.45,NLX
K. Alas,11,0.0,4.18,10.09,41%,1.09,3.91,28%,2.0,2.64,76%,2.45,0.64,0.36,1.18,3.64,4.82,1.91,2.55,-2.18,11.45,NLX
L. Fonacier,11,0.0,3.82,8.64,44%,1.82,4.73,38%,1.18,1.45,81%,2.45,0.36,0.27,0.91,2.73,3.64,1.18,1.0,-7.18,10.64,NLX
A. Mallari,10,0.0,3.2,8.8,36%,1.1,3.2,34%,1.5,2.5,60%,1.6,0.3,0.0,0.8,3.0,3.8,1.2,2.3,2.9,9.0,NLX
J. Tiongson,10,0.0,2.6,7.0,37%,1.6,4.3,37%,0.5,0.8,63%,2.3,1.1,0.0,0.3,2.1,2.4,1.6,1.4,0.7,7.3,NLX
M. Miranda,10,0.0,2.9,7.2,40%,0.6,2.0,30%,0.7,1.0,70%,0.8,0.2,0.7,1.4,4.0,5.4,3.7,1.5,-2.3,7.1,NLX
R. Al-Hussaini,9,0.0,2.22,5.22,43%,0.11,0.22,50%,1.11,1.78,63%,0.56,0.0,0.0,1.0,3.11,4.11,1.22,1.11,-3.0,5.67,NLX
R. Soyud,8,0.0,2.38,3.88,61%,0.38,0.75,50%,0.25,0.63,40%,0.25,0.38,0.38,2.38,3.13,5.5,2.5,1.25,-2.5,5.38,NLX
C. Baguio,11,0.0,2.09,3.82,55%,0.36,1.09,33%,0.64,0.82,78%,2.82,1.18,0.27,1.18,3.09,4.27,1.27,0.91,3.18,5.18,NLX
R. Buenafe,1,0.0,1.0,1.0,100%,1.0,1.0,100%,0.0,0.0,0%,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-7.0,3.0,NLX
E. Monfort,4,0.0,1.25,1.75,71%,0.25,0.25,100%,0.25,0.5,50%,1.25,1.0,0.0,0.25,1.75,2.0,2.0,0.25,2.0,3.0,NLX
K. Ighalo,5,0.0,1.2,3.2,38%,0.4,1.4,29%,0.2,0.4,50%,0.6,0.2,0.2,0.8,1.6,2.4,0.8,1.0,-1.8,3.0,NLX
J. Rios,2,0.0,1.0,2.0,50%,0.5,1.0,50%,0.0,0.0,0%,0.5,1.0,0.0,1.0,0.5,1.5,0.5,0.0,-6.0,2.5,NLX
A. Gotladera,9,0.0,1.11,2.67,42%,0.0,0.11,0%,0.11,0.22,50%,0.44,0.0,0.11,0.78,1.33,2.11,0.78,0.33,1.78,2.33,NLX
A. Taulava,10,0.0,0.8,2.2,36%,0.3,1.2,25%,0.0,0.3,0%,0.7,0.4,0.2,0.7,1.8,2.5,1.2,0.8,-1.7,1.9,NLX
J. Uyloan,5,0.0,0.6,2.2,27%,0.6,2.0,30%,0.0,0.0,0%,0.8,0.4,0.2,0.6,1.2,1.8,0.6,0.6,-8.0,1.8,NLX
C. Lastimosa,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
J. Villanueva,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
E. Villanueva,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
R. Reyes,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
H. Arboleda,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
R. Akl,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
J. Rios,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
W. Chism,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLX
