PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
S. Pringle,11,5.0,85,202,42%,32,97,33%,20,33,61%,51,16,0,19,66,85,21,35,24,222,NOR
T. Romeo,1,0.0,8,18,44%,1,7,14%,3,3,100%,1,1,0,1,1,2,1,2,12,20,NOR
S. Anthony,11,2.18,63,152,41%,21,59,36%,30,44,68%,44,22,7,34,61,95,28,37,40,177,NOR
K. Nabong,11,5.0,56,136,41%,16,51,31%,20,25,80%,21,5,16,23,98,121,27,22,25,148,NOR
J. Grey,11,5.0,43,110,39%,7,31,23%,26,37,70%,9,13,3,11,22,33,17,24,-50,119,NOR
J. Teng,4,0.0,11,23,48%,6,14,43%,0,0,0%,4,1,0,2,7,9,5,5,8,28,NOR
B. Guinto,11,3.1,23,62,37%,1,8,13%,19,30,63%,7,5,6,38,34,72,32,10,-19,66,NOR
J. Sargent,11,0.97,22,78,28%,4,25,16%,7,13,54%,10,2,4,19,15,34,23,14,47,55,NOR
J. Elorde,11,2.85,17,56,30%,6,27,22%,14,17,82%,33,10,0,11,19,30,16,18,-3,54,NOR
J. Gabayni,11,0.0,19,36,53%,0,0,0%,13,19,68%,4,3,6,24,26,50,19,2,7,51,NOR
R. Arana,10,0.0,19,59,32%,5,21,24%,3,6,50%,16,8,2,11,29,40,25,18,36,46,NOR
Y. Taha,11,0.9,18,37,49%,1,5,20%,5,10,50%,6,4,4,16,26,42,13,10,0,42,NOR
M. Juico,10,0.0,9,15,60%,0,1,0%,3,5,60%,2,2,1,2,3,5,18,2,4,21,NOR
L. Flores,11,0.0,8,25,32%,0,0,0%,1,2,50%,2,1,4,5,13,18,7,3,-1,17,NOR
M. Cortez,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
B. Mamaril,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
R. Maierhofer,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
J. Fortuna,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
M. Isip,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
G. Banal,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
M. Glover,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
M. Cardona,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
M. Baracael,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
P. Paredes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
A. Van Opstal,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
J. Saitanan,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
S. Williams,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
P. Hubalde,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
R. Celiz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
