PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Wright,11,2.69,6.45,17.27,37%,2.0,6.36,31%,3.0,4.09,73%,3.82,1.82,0.0,1.27,4.55,5.82,2.82,2.64,-2.73,17.91,PHX
J. Chan,11,2.66,4.73,11.45,41%,1.82,4.73,38%,2.45,3.36,73%,4.36,1.0,0.09,0.64,3.27,3.91,2.27,2.91,-0.73,13.73,PHX
J. Perkins,12,1.82,4.42,9.67,46%,0.17,0.58,29%,1.92,2.33,82%,1.5,0.67,0.5,2.92,4.42,7.33,3.08,1.67,-5.67,10.92,PHX
G. Alolino,12,1.22,3.5,7.75,45%,1.08,2.25,48%,0.75,1.0,75%,1.42,0.92,0.25,0.92,1.42,2.33,1.33,1.17,-0.42,8.83,PHX
R. Jazul,12,1.82,2.67,7.5,36%,1.67,5.0,33%,1.58,1.92,83%,2.17,0.83,0.08,0.58,1.67,2.25,1.5,1.92,-4.75,8.58,PHX
D. Kramer,12,1.95,3.25,6.0,54%,0.0,0.0,0%,1.33,1.5,89%,0.75,0.75,0.0,2.75,5.33,8.08,3.25,1.83,-2.08,7.83,PHX
W. Wilson,12,2.05,2.33,5.5,42%,0.0,0.08,0%,1.92,2.33,82%,1.67,0.58,0.25,1.75,3.08,4.83,2.17,1.17,-4.0,6.58,PHX
J. Chua,10,1.55,2.6,6.6,39%,0.0,0.0,0%,1.0,1.7,59%,0.9,0.9,0.3,2.4,1.9,4.3,2.1,1.2,0.6,6.2,PHX
J. Wilson,1,0.0,3.0,3.0,100%,0.0,0.0,0%,0.0,1.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,PHX
J. Mendoza,9,0.0,1.89,3.89,49%,0.0,0.22,0%,1.11,1.78,63%,0.67,0.44,0.33,1.33,1.22,2.56,2.11,0.89,-4.89,4.89,PHX
J. Eriobu,10,0.5,1.7,3.7,46%,0.0,0.2,0%,0.5,0.7,71%,0.4,0.7,0.0,0.7,0.9,1.6,0.9,0.8,3.7,3.9,PHX
J. Intal,12,0.95,1.5,4.83,31%,0.25,1.08,23%,0.5,1.17,43%,0.75,0.75,0.17,1.58,1.17,2.75,1.5,1.17,2.42,3.75,PHX
