PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Wright,11,29.59,71,190,37%,22,70,31%,33,45,73%,42,20,0,14,50,64,31,29,-30,197,PHX
J. Chan,11,29.28,52,126,41%,20,52,38%,27,37,73%,48,11,1,7,36,43,25,32,-8,151,PHX
J. Perkins,12,21.81,53,116,46%,2,7,29%,23,28,82%,18,8,6,35,53,88,37,20,-68,131,PHX
G. Alolino,12,14.6,42,93,45%,13,27,48%,9,12,75%,17,11,3,11,17,28,16,14,-5,106,PHX
R. Jazul,12,21.81,32,90,36%,20,60,33%,19,23,83%,26,10,1,7,20,27,18,23,-57,103,PHX
D. Kramer,12,23.41,39,72,54%,0,0,0%,16,18,89%,9,9,0,33,64,97,39,22,-25,94,PHX
W. Wilson,12,24.6,28,66,42%,0,1,0%,23,28,82%,20,7,3,21,37,58,26,14,-48,79,PHX
J. Chua,10,15.53,26,66,39%,0,0,0%,10,17,59%,9,9,3,24,19,43,21,12,6,62,PHX
J. Wilson,1,0.0,3,3,100%,0,0,0%,0,1,0%,0,0,0,0,0,0,0,0,-1,6,PHX
J. Mendoza,9,0.0,17,35,49%,0,2,0%,10,16,63%,6,4,3,12,11,23,19,8,-44,44,PHX
J. Eriobu,10,4.97,17,37,46%,0,2,0%,5,7,71%,4,7,0,7,9,16,9,8,37,39,PHX
J. Intal,12,11.36,18,58,31%,3,13,23%,6,14,43%,9,9,2,19,14,33,18,14,29,45,PHX
K. Dehesa,10,16.85,13,34,38%,5,15,33%,4,6,67%,5,5,0,3,6,9,19,6,22,35,PHX
L. Revilla,8,26.19,11,36,31%,0,9,0%,2,3,67%,33,12,0,8,26,34,19,14,-23,24,PHX
R. Guevarra,5,0.0,1,5,20%,0,2,0%,0,2,0%,1,1,1,0,2,2,3,1,18,2,PHX
M. Hayes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
D. Ababou,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
J. Urbiztondo,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
C. Lanete,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
M. Pennisi,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
P. Sorongon,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
L. Hee,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
J. Javillonar,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
E. Phelps,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
J. Viernes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
J. McKay,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
M. Simmons,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
M. Gamboa,3,0.0,0,0,0%,0,0,0%,0,0,0%,3,2,0,1,0,1,1,4,1,0,PHX
J. Cortes,4,0.0,0,4,0%,0,1,0%,0,0,0%,1,0,0,1,2,3,0,0,-4,0,PHX
J. Mendoza,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
