PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
D. Simpson,4,40.64,9.75,17.25,57%,0.0,0.0,0%,2.5,5.0,50%,5.5,2.25,1.5,7.75,13.25,21.0,2.5,2.5,-3.25,22.0,ALA
C. Banchero,11,33.18,7.55,17.18,44%,1.27,3.09,41%,2.73,3.82,71%,5.45,0.45,0.0,0.82,3.0,3.82,2.0,1.45,-2.45,19.09,ALA
R. Daniels,7,32.99,6.71,13.29,51%,1.0,2.29,44%,3.71,5.86,63%,2.43,1.29,2.29,3.43,7.71,11.14,3.29,3.43,4.86,18.14,ALA
V. Manuel,8,21.58,6.0,12.13,49%,0.0,0.0,0%,1.5,2.13,71%,1.0,1.0,0.38,0.75,3.88,4.63,3.0,1.63,0.25,13.5,ALA
J. Teng,12,25.84,3.5,8.17,43%,0.42,1.33,31%,1.67,2.67,63%,2.75,0.67,0.08,1.5,5.08,6.58,1.92,1.92,0.83,9.08,ALA
S. Enciso,12,29.94,3.25,9.5,34%,2.08,6.75,31%,0.5,0.83,60%,3.67,1.17,0.08,0.67,1.75,2.42,1.5,1.75,-1.83,9.08,ALA
J. Casio,12,22.5,3.25,7.67,42%,1.33,4.17,32%,0.83,1.0,83%,3.08,0.67,0.17,0.67,0.92,1.58,1.92,1.33,2.33,8.67,ALA
S. Thoss,12,16.09,2.58,5.58,46%,0.08,0.25,33%,0.5,1.17,43%,1.17,0.42,0.25,0.92,1.83,2.75,2.0,1.5,-6.67,5.75,ALA
C. Cruz,11,13.8,1.73,5.0,35%,0.82,3.09,26%,1.09,1.27,86%,0.55,0.09,0.18,0.55,2.09,2.64,1.82,0.55,0.09,5.36,ALA
K. Racal,7,18.8,1.43,2.86,50%,0.71,2.0,36%,1.0,1.0,100%,1.57,0.71,0.0,1.0,1.29,2.29,1.57,0.57,0.86,4.57,ALA
M. Ayaay,8,9.03,1.38,2.88,48%,0.63,1.5,42%,0.5,1.13,44%,0.63,0.13,0.0,0.63,1.38,2.0,1.38,0.63,0.0,3.88,ALA
N. Baclao,5,15.39,1.4,2.2,64%,0.2,0.4,50%,0.4,0.4,100%,0.6,0.4,1.0,0.6,2.6,3.2,2.0,0.8,-1.2,3.4,ALA
J. Pascual,12,12.77,1.17,2.92,40%,0.0,0.17,0%,0.58,1.0,58%,0.42,0.25,0.33,1.0,1.5,2.5,2.0,0.5,0.17,2.92,ALA
C. Exciminiano,8,7.44,0.5,1.75,29%,0.13,0.63,20%,0.38,0.63,60%,0.5,0.38,0.13,0.25,0.63,0.88,1.5,0.0,1.0,1.5,ALA
A. Galliguez,6,6.06,0.5,1.83,27%,0.17,1.0,17%,0.0,0.0,0%,0.5,0.17,0.0,0.17,0.17,0.33,1.33,0.5,-1.67,1.17,ALA
Y. Andrada,1,3.2,0.0,0.0,0%,0.0,0.0,0%,1.0,2.0,50%,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,ALA
G. Babilonia,2,2.17,0.5,1.0,50%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.0,ALA
M. Ahanmisi,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
D. Potts,2,4.82,0.0,1.0,0%,0.0,0.5,0%,0.0,0.0,0%,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.5,0.0,ALA
N. Johnson,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
K. Racal,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
