PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
B. Parks,11,35.56,7.09,17.36,41%,2.09,6.27,33%,6.09,7.45,82%,4.09,1.64,0.45,1.36,6.18,7.55,2.36,2.91,-0.27,22.36,BWE
A. Stepheson,6,39.06,9.0,16.67,54%,0.0,0.0,0%,4.17,9.0,46%,2.83,0.5,2.17,7.83,14.17,22.0,2.33,4.5,10.0,22.17,BWE
A. Maliksi,11,23.45,4.91,11.09,44%,1.91,4.36,44%,2.27,2.73,83%,1.36,0.82,0.27,1.0,3.09,4.09,2.91,1.73,0.18,14.0,BWE
M. Digregorio,11,30.77,4.27,10.82,39%,2.0,5.27,38%,2.27,2.64,86%,3.27,0.64,0.0,0.91,2.91,3.82,1.55,1.09,-0.82,12.82,BWE
M. Belo,11,27.17,4.09,9.64,42%,1.64,4.18,39%,1.27,1.82,70%,2.36,0.91,0.36,1.73,5.0,6.73,2.82,0.36,1.82,11.09,BWE
S. Sumang,11,23.03,3.27,6.27,52%,1.18,3.0,39%,1.91,2.18,88%,4.45,1.45,0.18,0.18,2.27,2.45,1.82,1.27,1.73,9.64,BWE
R. Al-Hussaini,11,15.93,2.45,5.27,47%,0.82,1.91,43%,0.55,0.82,67%,0.45,0.0,0.27,0.18,2.09,2.27,1.55,0.64,-4.09,6.27,BWE
A. Tratter,9,13.96,1.78,4.33,41%,0.0,0.44,0%,0.33,0.78,43%,0.44,0.22,0.11,1.11,1.0,2.11,2.11,1.22,-2.44,3.89,BWE
C. Javier,4,7.23,1.25,2.5,50%,0.5,1.25,40%,0.0,0.0,0%,0.25,0.0,0.0,0.5,0.25,0.75,1.5,0.0,-3.0,3.0,BWE
G. Alolino,11,9.94,1.09,3.64,30%,0.27,1.27,21%,0.27,0.55,50%,1.0,0.36,0.0,0.27,0.73,1.0,0.73,0.45,-1.82,2.73,BWE
J. Sena,10,8.47,1.0,2.3,43%,0.2,0.9,22%,0.0,0.0,0%,0.6,0.3,0.0,0.3,0.5,0.8,1.7,0.2,-3.3,2.2,BWE
M. Cortez,10,15.83,0.9,2.8,32%,0.2,1.1,18%,0.0,0.0,0%,1.8,0.7,0.0,0.3,1.2,1.5,1.4,1.3,-3.2,2.0,BWE
P. Desiderio,7,7.49,0.86,1.86,46%,0.0,0.14,0%,0.29,0.43,67%,0.43,0.43,0.14,1.0,0.43,1.43,0.71,0.29,1.86,2.0,BWE
D. Dario,4,4.57,0.25,1.5,17%,0.25,1.25,20%,0.5,1.0,50%,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.25,-3.0,1.25,BWE
R. Banal,6,8.31,0.5,1.17,43%,0.17,0.67,25%,0.0,0.0,0%,0.83,0.5,0.0,0.5,0.83,1.33,1.0,0.17,0.33,1.17,BWE
R. Jose,3,4.17,0.0,0.33,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.33,0.0,0.33,0.0,0.33,1.33,0.67,0.33,0.0,BWE
M. Salem,2,19.57,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,BWE
