PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
B. Parks,11,391.12,78,191,41%,23,69,33%,67,82,82%,45,18,5,15,68,83,26,32,-3,246,BWE
A. Stepheson,6,234.38,54,100,54%,0,0,0%,25,54,46%,17,3,13,47,85,132,14,27,60,133,BWE
A. Maliksi,11,257.98,54,122,44%,21,48,44%,25,30,83%,15,9,3,11,34,45,32,19,2,154,BWE
M. Digregorio,11,338.43,47,119,39%,22,58,38%,25,29,86%,36,7,0,10,32,42,17,12,-9,141,BWE
M. Belo,11,298.85,45,106,42%,18,46,39%,14,20,70%,26,10,4,19,55,74,31,4,20,122,BWE
S. Sumang,11,253.33,36,69,52%,13,33,39%,21,24,88%,49,16,2,2,25,27,20,14,19,106,BWE
R. Al-Hussaini,11,175.2,27,58,47%,9,21,43%,6,9,67%,5,0,3,2,23,25,17,7,-45,69,BWE
A. Tratter,9,125.63,16,39,41%,0,4,0%,3,7,43%,4,2,1,10,9,19,19,11,-22,35,BWE
C. Javier,4,28.93,5,10,50%,2,5,40%,0,0,0%,1,0,0,2,1,3,6,0,-12,12,BWE
G. Alolino,11,109.33,12,40,30%,3,14,21%,3,6,50%,11,4,0,3,8,11,8,5,-20,30,BWE
J. Sena,10,84.7,10,23,43%,2,9,22%,0,0,0%,6,3,0,3,5,8,17,2,-33,22,BWE
M. Cortez,10,158.33,9,28,32%,2,11,18%,0,0,0%,18,7,0,3,12,15,14,13,-32,20,BWE
P. Desiderio,7,52.43,6,13,46%,0,1,0%,2,3,67%,3,3,1,7,3,10,5,2,13,14,BWE
D. Dario,4,18.28,1,6,17%,1,5,20%,2,4,50%,1,1,0,0,0,0,4,1,-12,5,BWE
R. Banal,6,49.83,3,7,43%,1,4,25%,0,0,0%,5,3,0,3,5,8,6,1,2,7,BWE
R. Jose,3,12.52,0,1,0%,0,0,0%,0,0,0%,0,1,0,1,0,1,4,2,1,0,BWE
M. Salem,2,39.13,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,0,0,BWE
