PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Brownlee,11,45.59,13.73,25.09,55%,3.36,8.27,41%,5.09,7.18,71%,5.73,2.64,2.18,1.45,12.18,13.64,1.64,2.91,6.0,35.91,GIN
S. Pringle,5,39.37,6.8,14.4,47%,1.6,5.6,29%,1.6,2.4,67%,5.2,1.6,0.2,0.6,3.4,4.0,2.8,3.8,12.4,16.8,GIN
J. Aguilar,11,26.9,5.27,9.73,54%,0.09,0.18,50%,2.73,4.73,58%,1.45,0.27,1.36,2.18,2.73,4.91,3.27,1.64,7.45,13.36,GIN
L. Tenorio,11,34.29,4.27,10.18,42%,2.09,5.73,37%,1.55,2.0,77%,3.64,0.73,0.09,0.64,1.55,2.18,2.27,1.55,2.36,12.18,GIN
A. Dela Cruz,2,26.05,5.0,8.5,59%,0.0,0.5,0%,2.0,2.0,100%,3.0,2.5,0.0,1.0,4.0,5.0,1.0,1.0,6.5,12.0,GIN
G. Slaughter,11,24.3,4.0,8.45,47%,0.0,0.0,0%,1.73,2.36,73%,1.09,0.36,0.82,3.0,3.64,6.64,1.91,1.27,-3.27,9.73,GIN
S. Thompson,11,33.28,3.09,7.73,40%,0.64,2.45,26%,1.18,2.73,43%,6.55,1.18,0.27,2.64,5.73,8.36,2.55,2.55,3.82,8.0,GIN
J. Chan,1,15.88,3.0,7.0,43%,1.0,4.0,25%,0.0,0.0,0%,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-12.0,7.0,GIN
S. Mercado,6,23.14,2.33,5.17,45%,1.17,2.67,44%,0.83,1.0,83%,3.67,0.33,0.33,0.33,3.17,3.5,1.33,2.0,3.33,6.67,GIN
K. Ferrer,6,15.58,1.5,5.33,28%,0.83,3.33,25%,0.0,0.0,0%,0.67,0.17,0.33,0.67,1.17,1.83,2.0,1.0,-6.67,3.83,GIN
J. Devance,9,26.4,1.22,6.33,19%,0.78,3.0,26%,0.22,0.44,50%,2.89,1.0,0.0,0.78,3.67,4.44,2.0,1.0,0.89,3.44,GIN
A. Mariano,10,8.44,1.3,2.4,54%,0.0,0.0,0%,0.4,0.7,57%,0.5,0.2,0.2,0.6,1.3,1.9,1.1,0.7,0.1,3.0,GIN
M. Caguioa,5,7.49,0.6,1.8,33%,0.0,0.0,0%,0.2,0.2,100%,0.4,0.4,0.0,0.0,0.8,0.8,0.4,0.6,-2.2,1.4,GIN
P. Caperal,6,3.48,0.5,1.17,43%,0.0,0.0,0%,0.17,0.33,50%,0.17,0.0,0.0,0.17,0.33,0.5,0.67,0.33,-4.17,1.17,GIN
B. Teodoro,4,4.41,0.25,2.0,13%,0.25,1.75,14%,0.0,0.0,0%,0.0,0.25,0.0,0.0,0.25,0.25,0.75,0.5,-3.0,0.75,GIN
J. Dillinger,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
J. Cruz,2,2.42,0.0,0.5,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,GIN
R. Aguilar,1,4.73,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,-8.0,0.0,GIN
J. Sargent,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
