PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Brownlee,11,501.48,151,276,55%,37,91,41%,56,79,71%,63,29,24,16,134,150,18,32,66,395,GIN
S. Pringle,5,196.87,34,72,47%,8,28,29%,8,12,67%,26,8,1,3,17,20,14,19,62,84,GIN
J. Aguilar,11,295.85,58,107,54%,1,2,50%,30,52,58%,16,3,15,24,30,54,36,18,82,147,GIN
L. Tenorio,11,377.17,47,112,42%,23,63,37%,17,22,77%,40,8,1,7,17,24,25,17,26,134,GIN
A. Dela Cruz,2,52.1,10,17,59%,0,1,0%,4,4,100%,6,5,0,2,8,10,2,2,13,24,GIN
G. Slaughter,11,267.28,44,93,47%,0,0,0%,19,26,73%,12,4,9,33,40,73,21,14,-36,107,GIN
S. Thompson,11,366.07,34,85,40%,7,27,26%,13,30,43%,72,13,3,29,63,92,28,28,42,88,GIN
J. Chan,1,15.88,3,7,43%,1,4,25%,0,0,0%,2,1,0,0,1,1,0,0,-12,7,GIN
S. Mercado,6,138.85,14,31,45%,7,16,44%,5,6,83%,22,2,2,2,19,21,8,12,20,40,GIN
K. Ferrer,6,93.48,9,32,28%,5,20,25%,0,0,0%,4,1,2,4,7,11,12,6,-40,23,GIN
J. Devance,9,237.63,11,57,19%,7,27,26%,2,4,50%,26,9,0,7,33,40,18,9,8,31,GIN
A. Mariano,10,84.35,13,24,54%,0,0,0%,4,7,57%,5,2,2,6,13,19,11,7,1,30,GIN
M. Caguioa,5,37.43,3,9,33%,0,0,0%,1,1,100%,2,2,0,0,4,4,2,3,-11,7,GIN
P. Caperal,6,20.87,3,7,43%,0,0,0%,1,2,50%,1,0,0,1,2,3,4,2,-25,7,GIN
B. Teodoro,4,17.65,1,8,13%,1,7,14%,0,0,0%,0,1,0,0,1,1,3,2,-12,3,GIN
J. Dillinger,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,GIN
J. Cruz,2,4.83,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,-4,0,GIN
R. Aguilar,1,4.73,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,0,0,3,1,-8,0,GIN
J. Sargent,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,GIN
