PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Farr,9,36.9,9.11,20.22,45%,0.22,1.89,12%,3.44,5.22,66%,2.44,2.0,1.56,5.56,12.56,18.11,2.89,3.56,4.0,21.89,MAG
P. Lee,11,28.33,4.91,10.91,45%,2.82,6.45,44%,3.55,3.91,91%,4.27,0.55,0.0,0.36,2.73,3.09,2.36,2.55,3.64,16.18,MAG
I. Sangalang,11,30.11,6.09,12.73,48%,0.0,0.0,0%,3.0,5.0,60%,1.18,0.73,0.91,3.36,4.18,7.55,3.82,3.0,-1.73,15.18,MAG
A. Barroca,11,32.41,4.64,12.27,38%,1.82,5.36,34%,1.55,2.09,74%,4.27,1.45,0.09,0.91,2.91,3.82,2.45,1.55,-0.45,12.64,MAG
J. Fields,1,30.18,4.0,11.0,36%,0.0,0.0,0%,4.0,6.0,67%,0.0,0.0,1.0,3.0,3.0,6.0,1.0,3.0,-25.0,12.0,MAG
J. Jalalon,11,24.49,4.45,11.27,40%,0.73,2.55,29%,0.73,1.18,62%,3.73,2.27,0.0,1.91,2.82,4.73,2.55,2.36,-0.27,10.36,MAG
R. Brondial,10,13.45,1.6,4.0,40%,0.0,0.4,0%,1.0,1.4,71%,0.5,0.1,0.0,3.2,2.2,5.4,1.7,0.7,3.4,4.2,MAG
P. Simon,6,6.08,1.5,3.0,50%,0.17,1.17,14%,1.0,1.0,100%,0.17,0.17,0.0,0.0,0.5,0.5,0.67,0.17,0.67,4.17,MAG
R. Gamalinda,1,4.73,2.0,2.0,100%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,MAG
R. dela Rosa,11,22.97,1.64,4.18,39%,0.27,0.82,33%,0.36,0.55,67%,1.73,0.27,0.09,1.0,1.09,2.09,2.27,0.45,-0.45,3.91,MAG
R. Herndon,11,12.85,1.36,3.55,38%,0.73,2.18,33%,0.45,0.45,100%,0.36,0.73,0.0,0.27,1.45,1.73,0.82,0.09,-0.55,3.91,MAG
A. Ramos,6,10.46,1.5,3.83,39%,0.83,2.67,31%,0.0,0.0,0%,0.5,0.0,1.0,0.67,1.33,2.0,0.83,0.5,-1.0,3.83,MAG
J. Melton,11,19.63,0.91,4.18,22%,0.55,2.55,21%,0.36,0.45,80%,1.36,0.73,0.0,0.36,2.55,2.91,1.27,0.82,-4.09,2.73,MAG
M. Pingris,7,13.0,1.29,3.14,41%,0.0,0.0,0%,0.14,0.29,50%,0.43,0.43,0.14,1.14,2.43,3.57,1.43,0.57,-1.57,2.71,MAG
M. Abundo,2,3.41,0.5,0.5,100%,0.0,0.0,0%,0.0,0.0,0%,1.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.5,1.0,MAG
K. Pascual,7,5.58,0.14,0.86,17%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.14,0.86,1.0,1.43,0.0,-0.43,0.29,MAG
R. Reavis,1,15.0,0.0,2.0,0%,0.0,0.0,0%,0.0,0.0,0%,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,-3.0,0.0,MAG
M. Calisaan,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
R. Christmas,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
