PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Farr,9,332.12,82,182,45%,2,17,12%,31,47,66%,22,18,14,50,113,163,26,32,36,197,MAG
P. Lee,11,311.58,54,120,45%,31,71,44%,39,43,91%,47,6,0,4,30,34,26,28,40,178,MAG
I. Sangalang,11,331.25,67,140,48%,0,0,0%,33,55,60%,13,8,10,37,46,83,42,33,-19,167,MAG
A. Barroca,11,356.53,51,135,38%,20,59,34%,17,23,74%,47,16,1,10,32,42,27,17,-5,139,MAG
J. Fields,1,30.18,4,11,36%,0,0,0%,4,6,67%,0,0,1,3,3,6,1,3,-25,12,MAG
J. Jalalon,11,269.4,49,124,40%,8,28,29%,8,13,62%,41,25,0,21,31,52,28,26,-3,114,MAG
R. Brondial,10,134.48,16,40,40%,0,4,0%,10,14,71%,5,1,0,32,22,54,17,7,34,42,MAG
P. Simon,6,36.47,9,18,50%,1,7,14%,6,6,100%,1,1,0,0,3,3,4,1,4,25,MAG
R. Gamalinda,1,4.73,2,2,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,1,2,4,MAG
R. dela Rosa,11,252.68,18,46,39%,3,9,33%,4,6,67%,19,3,1,11,12,23,25,5,-5,43,MAG
R. Herndon,11,141.32,15,39,38%,8,24,33%,5,5,100%,4,8,0,3,16,19,9,1,-6,43,MAG
A. Ramos,6,62.77,9,23,39%,5,16,31%,0,0,0%,3,0,6,4,8,12,5,3,-6,23,MAG
J. Melton,11,215.97,10,46,22%,6,28,21%,4,5,80%,15,8,0,4,28,32,14,9,-45,30,MAG
M. Pingris,7,91.0,9,22,41%,0,0,0%,1,2,50%,3,3,1,8,17,25,10,4,-11,19,MAG
M. Abundo,2,6.82,1,1,100%,0,0,0%,0,0,0%,3,0,0,0,2,2,0,0,7,2,MAG
K. Pascual,7,39.08,1,6,17%,0,0,0%,0,0,0%,0,0,0,1,6,7,10,0,-3,2,MAG
R. Reavis,1,15.0,0,2,0%,0,0,0%,0,0,0%,1,2,0,1,1,2,2,1,-3,0,MAG
M. Calisaan,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
R. Christmas,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
