PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Wright,11,387.03,77,194,40%,29,73,40%,41,50,82%,53,17,1,9,35,44,27,47,-46,224,PHX
R. Dozier,2,82.45,13,38,34%,4,9,44%,4,4,100%,3,3,7,11,17,28,6,6,-9,34,PHX
C. Abueva,2,55.05,7,18,39%,0,2,0%,15,19,79%,5,1,0,3,14,17,9,6,7,29,PHX
R. Jazul,11,319.82,42,110,38%,23,68,34%,18,24,75%,44,15,0,4,29,33,24,12,-37,125,PHX
A. Mallari,10,261.22,34,80,43%,11,33,33%,9,17,53%,33,10,3,9,25,34,22,14,-24,88,PHX
J. Chua,11,231.77,38,95,40%,1,3,33%,19,24,79%,8,2,3,23,23,46,35,16,20,96,PHX
J. Perkins,11,257.4,29,76,38%,1,12,8%,24,29,83%,16,11,1,22,32,54,36,10,1,83,PHX
R. Guevarra,2,16.28,5,7,71%,3,5,60%,1,3,33%,2,0,0,0,2,2,5,1,-5,14,PHX
L. Revilla,5,113.95,11,32,34%,2,10,20%,1,4,25%,17,6,0,5,6,11,8,4,-4,25,PHX
J. Intal,10,187.93,14,49,29%,2,12,17%,13,16,81%,7,1,5,8,29,37,23,10,4,43,PHX
D. Marcelo,11,120.07,16,31,52%,3,10,30%,2,3,67%,2,2,5,8,15,23,18,9,-19,37,PHX
J. Napoles,6,41.9,4,10,40%,0,1,0%,3,4,75%,1,1,0,2,5,7,7,2,-2,11,PHX
D. Kramer,11,94.3,5,13,38%,0,0,0%,2,2,100%,0,0,1,6,19,25,24,8,-52,12,PHX
M. Gamboa,2,14.25,1,5,20%,0,0,0%,0,1,0%,5,0,0,1,1,2,1,0,1,2,PHX
R. Dennison,9,56.4,3,15,20%,1,4,25%,0,0,0%,6,3,0,7,9,16,8,1,-17,7,PHX
W. Wilson,10,73.85,2,7,29%,2,6,33%,0,0,0%,4,2,0,4,7,11,7,3,-1,6,PHX
J. Mendoza,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
R. Howell,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
