PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
C. McCullough,4,37.8,11.75,26.0,45%,2.5,8.0,31%,7.75,11.5,67%,2.75,1.25,2.25,3.0,11.0,14.0,3.25,6.75,9.0,33.75,SMB
C. Rhodes,7,37.83,10.43,19.57,53%,0.57,2.57,22%,4.57,6.43,71%,2.71,0.86,2.43,4.14,9.57,13.71,3.29,4.43,-6.71,26.0,SMB
J. Fajardo,11,30.61,6.73,12.73,53%,0.0,0.09,0%,2.91,4.45,65%,1.36,0.27,1.45,4.55,6.91,11.45,2.09,2.27,-2.64,16.36,SMB
A. Cabagnot,10,29.56,4.8,13.5,36%,1.1,4.3,26%,2.5,2.9,86%,4.0,1.4,0.1,0.5,2.8,3.3,2.2,1.3,-7.1,13.2,SMB
M. Lassiter,11,34.59,4.27,11.0,39%,2.91,7.73,38%,1.09,1.09,100%,4.18,1.09,0.18,0.27,2.09,2.36,3.09,1.36,-3.45,12.55,SMB
T. Romeo,4,21.86,3.75,8.75,43%,2.5,5.75,43%,0.75,1.0,75%,3.25,0.5,0.0,0.75,1.75,2.5,1.5,1.75,9.5,10.75,SMB
V. Pessumal,11,19.12,2.91,6.45,45%,2.64,5.45,48%,0.0,0.0,0%,1.0,0.45,0.27,0.55,1.18,1.73,1.45,0.64,1.0,8.45,SMB
C. Standhardinger,10,17.0,3.1,5.6,55%,0.0,0.1,0%,1.1,2.4,46%,0.2,0.6,0.2,1.6,2.5,4.1,2.1,0.7,-0.9,7.3,SMB
A. Santos,10,19.85,2.7,7.6,36%,1.3,4.4,30%,0.3,0.6,50%,1.3,0.5,0.6,0.7,3.1,3.8,2.7,0.8,-1.2,7.0,SMB
C. Ross,10,31.98,1.7,5.8,29%,0.9,3.6,25%,0.6,1.0,60%,5.5,1.8,0.3,0.5,3.8,4.3,1.4,1.1,-6.0,4.9,SMB
K. Nabong,6,5.99,1.17,1.83,64%,0.83,1.5,56%,0.83,1.17,71%,0.0,0.33,0.17,0.17,1.17,1.33,2.17,0.83,0.5,4.0,SMB
P. Zamar,5,10.67,1.2,3.2,38%,0.4,1.4,29%,0.4,0.8,50%,1.6,0.2,0.0,0.2,1.2,1.4,0.8,0.8,1.0,3.2,SMB
C. Lanete,2,5.24,1.0,2.5,40%,0.5,1.5,33%,0.5,1.5,33%,1.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,-3.5,3.0,SMB
R. Tubid,3,5.39,1.0,2.0,50%,0.33,0.67,50%,0.33,0.33,100%,0.0,0.0,0.0,0.0,0.67,0.67,0.33,0.0,2.33,2.67,SMB
L. Vigil,2,5.72,1.0,4.5,22%,0.0,1.5,0%,0.5,1.5,33%,0.5,0.5,0.5,0.5,1.0,1.5,1.0,0.0,-1.0,2.5,SMB
M. Ganuelas-Rosser,10,14.17,0.7,1.6,44%,0.0,0.0,0%,0.1,0.1,100%,2.3,0.3,0.3,0.6,0.7,1.3,1.8,0.7,1.2,1.5,SMB
B. Mamaril,1,6.03,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,SMB
Y. de Ocampo,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
