PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
C. McCullough,4,151.2,47,104,45%,10,32,31%,31,46,67%,11,5,9,12,44,56,13,27,36,135,SMB
C. Rhodes,7,264.8,73,137,53%,4,18,22%,32,45,71%,19,6,17,29,67,96,23,31,-47,182,SMB
J. Fajardo,11,336.72,74,140,53%,0,1,0%,32,49,65%,15,3,16,50,76,126,23,25,-29,180,SMB
A. Cabagnot,10,295.57,48,135,36%,11,43,26%,25,29,86%,40,14,1,5,28,33,22,13,-71,132,SMB
M. Lassiter,11,380.53,47,121,39%,32,85,38%,12,12,100%,46,12,2,3,23,26,34,15,-38,138,SMB
T. Romeo,4,87.43,15,35,43%,10,23,43%,3,4,75%,13,2,0,3,7,10,6,7,38,43,SMB
V. Pessumal,11,210.37,32,71,45%,29,60,48%,0,0,0%,11,5,3,6,13,19,16,7,11,93,SMB
C. Standhardinger,10,170.02,31,56,55%,0,1,0%,11,24,46%,2,6,2,16,25,41,21,7,-9,73,SMB
A. Santos,10,198.45,27,76,36%,13,44,30%,3,6,50%,13,5,6,7,31,38,27,8,-12,70,SMB
C. Ross,10,319.8,17,58,29%,9,36,25%,6,10,60%,55,18,3,5,38,43,14,11,-60,49,SMB
K. Nabong,6,35.97,7,11,64%,5,9,56%,5,7,71%,0,2,1,1,7,8,13,5,3,24,SMB
P. Zamar,5,53.33,6,16,38%,2,7,29%,2,4,50%,8,1,0,1,6,7,4,4,5,16,SMB
C. Lanete,2,10.48,2,5,40%,1,3,33%,1,3,33%,3,1,0,1,1,2,0,0,-7,6,SMB
R. Tubid,3,16.18,3,6,50%,1,2,50%,1,1,100%,0,0,0,0,2,2,1,0,7,8,SMB
L. Vigil,2,11.43,2,9,22%,0,3,0%,1,3,33%,1,1,1,1,2,3,2,0,-2,5,SMB
M. Ganuelas-Rosser,10,141.68,7,16,44%,0,0,0%,1,1,100%,23,3,3,6,7,13,18,7,12,15,SMB
B. Mamaril,1,6.03,0,1,0%,0,0,0%,0,0,0%,0,0,0,1,0,1,1,0,3,0,SMB
Y. de Ocampo,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
