PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
T. Jones,11,475.88,124,260,48%,33,86,38%,90,149,60%,85,16,34,34,143,177,36,57,152,371,TNT
R. Pogoy,11,377.18,73,164,45%,36,94,38%,7,11,64%,22,32,3,17,40,57,27,11,116,189,TNT
W. Castro,10,327.88,47,114,41%,16,48,33%,23,31,74%,68,19,8,10,51,61,28,21,134,133,TNT
J. Rosario,10,271.22,42,104,40%,11,44,25%,15,17,88%,12,7,3,24,25,49,36,14,56,110,TNT
D. Trollano,11,259.32,40,102,39%,18,49,37%,3,3,100%,9,4,1,13,47,60,16,14,55,101,TNT
R. Reyes,10,164.62,18,39,46%,15,32,47%,5,7,71%,9,5,2,7,36,43,23,4,34,56,TNT
A. Semerad,10,201.4,20,53,38%,15,44,34%,0,0,0%,5,3,0,5,20,25,21,2,47,55,TNT
B. Heruela,3,60.75,5,13,38%,1,6,17%,5,8,63%,3,4,1,2,4,6,8,3,-27,16,TNT
K. Williams,3,55.72,4,10,40%,0,2,0%,3,5,60%,5,1,0,4,6,10,3,3,10,11,TNT
Y. Taha,11,131.85,15,30,50%,0,1,0%,5,8,63%,3,2,6,8,15,23,27,8,34,35,TNT
J. Washington,1,14.35,1,3,33%,1,2,50%,0,0,0%,0,1,0,1,3,4,2,0,10,3,TNT
M. Magat,4,21.58,5,7,71%,0,2,0%,2,4,50%,0,0,1,3,2,5,4,2,-2,12,TNT
K. Bono,1,2.53,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,-3,2,TNT
D. Semerad,10,57.1,3,8,38%,0,0,0%,2,2,100%,2,1,1,9,8,17,16,8,2,8,TNT
J. Casiño,9,30.1,1,6,17%,1,4,25%,0,0,0%,3,0,0,1,2,3,4,1,-27,3,TNT
F. Golla,6,10.58,0,2,0%,0,1,0%,0,0,0%,1,0,0,1,0,1,1,1,-19,0,TNT
J. Cruz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
H. Carey,2,5.62,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,3,0,TNT
B. Heruela,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
M. Miranda,3,15.08,0,2,0%,0,1,0%,0,0,0%,1,0,0,0,1,1,0,0,3,0,TNT
