PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Fuller,1,37.42,10.0,15.0,67%,0.0,0.0,0%,6.0,10.0,60%,3.0,1.0,2.0,6.0,4.0,10.0,3.0,0.0,-11.0,26.0,BWE
B. Parks,9,38.78,6.67,16.67,40%,3.11,8.0,39%,3.67,5.67,65%,3.56,1.56,0.22,1.11,3.89,5.0,1.89,3.11,-8.89,20.11,BWE
M. Blakely,10,37.17,6.7,13.3,50%,1.0,2.5,40%,3.6,5.7,63%,5.6,3.5,2.9,3.6,9.5,13.1,3.4,3.3,-0.5,18.0,BWE
M. Belo,11,27.18,5.45,10.73,51%,0.91,3.73,24%,2.27,2.91,78%,1.82,1.0,0.45,1.82,4.0,5.82,2.55,1.0,1.64,14.09,BWE
N. Canaleta,4,25.52,4.0,9.75,41%,3.25,6.75,48%,0.25,0.5,50%,2.5,0.0,0.0,1.0,3.0,4.0,1.25,1.5,-3.5,11.5,BWE
M. Digregorio,6,18.24,3.67,6.5,56%,2.5,3.83,65%,1.0,1.0,100%,0.33,0.0,0.0,0.0,1.5,1.5,1.5,1.0,-0.83,10.83,BWE
D. Trollano,2,34.03,4.0,10.5,38%,1.0,4.0,25%,0.5,1.5,33%,4.5,0.5,0.0,2.0,5.5,7.5,1.5,0.0,1.5,9.5,BWE
A. Maliksi,7,19.87,3.14,8.0,39%,1.0,2.86,35%,1.71,2.14,80%,1.0,0.57,0.14,0.86,2.43,3.29,2.0,0.86,-4.14,9.0,BWE
S. Sumang,11,20.7,2.73,5.45,50%,0.36,1.45,25%,1.0,1.36,73%,3.27,0.91,0.0,0.27,1.36,1.64,1.45,1.18,-2.0,6.82,BWE
C. Cruz,11,18.94,2.18,6.73,32%,1.36,4.18,33%,0.55,1.0,55%,0.55,0.18,0.27,0.91,1.91,2.82,2.27,0.82,-2.36,6.27,BWE
M. Tolomia,4,13.42,1.75,5.5,32%,0.25,2.5,10%,0.75,1.5,50%,1.5,0.25,0.0,0.25,0.5,0.75,1.25,1.0,5.25,4.5,BWE
M. Cortez,8,22.78,1.88,4.0,47%,0.38,1.5,25%,0.25,0.25,100%,2.38,1.13,0.13,1.0,2.38,3.38,1.63,0.75,-2.5,4.38,BWE
P. Desiderio,11,17.8,1.64,4.36,38%,0.82,2.45,33%,0.18,0.36,50%,1.27,0.27,0.18,1.0,1.73,2.73,1.27,0.73,-3.36,4.27,BWE
R. Al-Hussaini,11,10.45,1.55,3.64,43%,0.55,1.55,35%,0.27,0.36,75%,0.18,0.0,0.18,0.73,1.0,1.73,1.45,0.55,-3.73,3.91,BWE
R. Jose,3,6.63,1.33,3.0,44%,0.0,0.0,0%,0.67,0.67,100%,0.33,0.0,0.0,0.67,1.67,2.33,0.67,0.33,-7.67,3.33,BWE
B. Heruela,4,19.13,1.0,5.0,20%,0.25,1.75,14%,0.75,1.0,75%,2.5,0.75,0.25,0.25,0.5,0.75,1.0,1.0,-14.25,3.0,BWE
J. Sena,5,8.2,1.0,2.4,42%,0.4,0.8,50%,0.2,0.4,50%,0.4,0.0,0.0,0.4,0.4,0.8,1.8,0.4,-7.2,2.6,BWE
G. Alolino,3,7.23,0.67,2.0,33%,0.0,1.0,0%,0.67,0.67,100%,0.33,0.33,0.0,0.33,0.33,0.67,0.0,0.0,-4.33,2.0,BWE
C. Javier,4,7.7,0.5,2.75,18%,0.5,1.75,29%,0.25,1.0,25%,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,-5.25,1.75,BWE
D. Dario,5,6.65,0.6,1.8,33%,0.4,1.4,29%,0.0,0.0,0%,0.6,0.6,0.0,0.0,0.0,0.0,0.8,0.8,-1.6,1.6,BWE
A. Semerad,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BWE
R. Banal,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BWE
G. Smith,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BWE
M. Salem,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BWE
