PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Fuller,1,37.42,10,15,67%,0,0,0%,6,10,60%,3,1,2,6,4,10,3,0,-11,26,BWE
B. Parks,9,349.02,60,150,40%,28,72,39%,33,51,65%,32,14,2,10,35,45,17,28,-80,181,BWE
M. Blakely,10,371.73,67,133,50%,10,25,40%,36,57,63%,56,35,29,36,95,131,34,33,-5,180,BWE
M. Belo,11,298.97,60,118,51%,10,41,24%,25,32,78%,20,11,5,20,44,64,28,11,18,155,BWE
N. Canaleta,4,102.08,16,39,41%,13,27,48%,1,2,50%,10,0,0,4,12,16,5,6,-14,46,BWE
M. Digregorio,6,109.45,22,39,56%,15,23,65%,6,6,100%,2,0,0,0,9,9,9,6,-5,65,BWE
D. Trollano,2,68.07,8,21,38%,2,8,25%,1,3,33%,9,1,0,4,11,15,3,0,3,19,BWE
A. Maliksi,7,139.08,22,56,39%,7,20,35%,12,15,80%,7,4,1,6,17,23,14,6,-29,63,BWE
S. Sumang,11,227.65,30,60,50%,4,16,25%,11,15,73%,36,10,0,3,15,18,16,13,-22,75,BWE
C. Cruz,11,208.33,24,74,32%,15,46,33%,6,11,55%,6,2,3,10,21,31,25,9,-26,69,BWE
M. Tolomia,4,53.67,7,22,32%,1,10,10%,3,6,50%,6,1,0,1,2,3,5,4,21,18,BWE
M. Cortez,8,182.23,15,32,47%,3,12,25%,2,2,100%,19,9,1,8,19,27,13,6,-20,35,BWE
P. Desiderio,11,195.78,18,48,38%,9,27,33%,2,4,50%,14,3,2,11,19,30,14,8,-37,47,BWE
R. Al-Hussaini,11,115.0,17,40,43%,6,17,35%,3,4,75%,2,0,2,8,11,19,16,6,-41,43,BWE
R. Jose,3,19.88,4,9,44%,0,0,0%,2,2,100%,1,0,0,2,5,7,2,1,-23,10,BWE
B. Heruela,4,76.52,4,20,20%,1,7,14%,3,4,75%,10,3,1,1,2,3,4,4,-57,12,BWE
J. Sena,5,40.98,5,12,42%,2,4,50%,1,2,50%,2,0,0,2,2,4,9,2,-36,13,BWE
G. Alolino,3,21.68,2,6,33%,0,3,0%,2,2,100%,1,1,0,1,1,2,0,0,-13,6,BWE
C. Javier,4,30.78,2,11,18%,2,7,29%,1,4,25%,0,2,0,0,2,2,4,0,-21,7,BWE
D. Dario,5,33.27,3,9,33%,2,7,29%,0,0,0%,3,3,0,0,0,0,4,4,-8,8,BWE
A. Semerad,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
R. Banal,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
G. Smith,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
M. Salem,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
