PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
R. Travis,10,39.58,8.8,19.4,45%,0.8,3.9,21%,2.8,3.5,80%,5.2,2.2,1.8,3.2,9.4,12.6,2.5,2.8,2.3,21.2,MAG
I. Sangalang,11,25.83,6.0,10.91,55%,0.0,0.0,0%,3.18,4.36,73%,1.27,0.64,1.36,2.09,5.36,7.45,3.64,1.82,-0.64,15.18,MAG
P. Lee,11,27.37,4.45,11.64,38%,2.55,7.0,36%,3.09,3.55,87%,3.82,0.18,0.09,0.45,3.55,4.0,2.27,2.91,5.55,14.55,MAG
A. Barroca,11,30.91,3.55,10.64,33%,1.0,3.45,29%,1.91,2.64,72%,3.27,1.45,0.18,0.82,2.91,3.73,2.27,2.36,3.91,10.0,MAG
R. dela Rosa,11,24.73,3.45,6.36,54%,0.64,2.0,32%,0.55,1.0,55%,1.18,0.82,0.18,1.0,1.64,2.64,1.82,0.27,-2.64,8.09,MAG
A. Ramos,3,7.67,2.67,3.33,80%,1.67,2.0,83%,0.67,0.67,100%,0.0,0.0,0.33,0.67,0.67,1.33,1.33,0.33,1.0,7.67,MAG
J. Jalalon,10,23.22,3.0,8.3,36%,0.4,2.1,19%,0.4,0.5,80%,4.0,1.2,0.1,1.2,2.7,3.9,2.4,1.9,-2.2,6.8,MAG
M. Pingris,11,17.58,1.91,3.0,64%,0.0,0.0,0%,0.55,1.55,35%,0.91,0.36,0.73,1.55,2.73,4.27,1.55,1.0,-0.09,4.36,MAG
P. Simon,4,8.39,1.5,3.0,50%,0.75,1.75,43%,0.0,0.0,0%,0.25,0.25,0.0,0.25,0.25,0.5,1.0,0.25,-3.5,3.75,MAG
J. Melton,10,20.52,1.1,3.3,33%,1.1,2.6,42%,0.1,0.2,50%,2.1,1.1,0.1,0.1,2.7,2.8,1.3,1.1,3.0,3.4,MAG
R. Herndon,7,9.79,1.29,3.14,41%,0.0,0.86,0%,0.0,0.0,0%,0.43,0.29,0.0,0.71,1.43,2.14,0.71,0.57,-2.29,2.57,MAG
R. Reavis,10,14.78,0.8,2.0,40%,0.0,0.0,0%,0.9,1.2,75%,0.2,0.1,0.2,1.5,2.5,4.0,1.7,0.4,2.9,2.5,MAG
M. Abundo,5,4.92,0.6,1.8,33%,0.2,1.0,20%,0.2,0.4,50%,0.2,0.0,0.0,0.2,0.4,0.6,0.4,0.6,2.6,1.6,MAG
K. Pascual,3,5.93,0.67,2.33,29%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.33,0.33,0.33,0.67,1.0,0.67,0.0,-0.67,1.33,MAG
R. Brondial,3,4.98,0.33,2.0,17%,0.0,0.33,0%,0.0,0.0,0%,0.33,0.0,0.0,1.67,1.33,3.0,0.33,0.67,-1.67,0.67,MAG
R. Gamalinda,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
M. Calisaan,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAG
