PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
R. Travis,10,395.78,88,194,45%,8,39,21%,28,35,80%,52,22,18,32,94,126,25,28,23,212,MAG
I. Sangalang,11,284.12,66,120,55%,0,0,0%,35,48,73%,14,7,15,23,59,82,40,20,-7,167,MAG
P. Lee,11,301.08,49,128,38%,28,77,36%,34,39,87%,42,2,1,5,39,44,25,32,61,160,MAG
A. Barroca,11,340.02,39,117,33%,11,38,29%,21,29,72%,36,16,2,9,32,41,25,26,43,110,MAG
R. dela Rosa,11,272.05,38,70,54%,7,22,32%,6,11,55%,13,9,2,11,18,29,20,3,-29,89,MAG
A. Ramos,3,23.02,8,10,80%,5,6,83%,2,2,100%,0,0,1,2,2,4,4,1,3,23,MAG
J. Jalalon,10,232.23,30,83,36%,4,21,19%,4,5,80%,40,12,1,12,27,39,24,19,-22,68,MAG
M. Pingris,11,193.42,21,33,64%,0,0,0%,6,17,35%,10,4,8,17,30,47,17,11,-1,48,MAG
P. Simon,4,33.55,6,12,50%,3,7,43%,0,0,0%,1,1,0,1,1,2,4,1,-14,15,MAG
J. Melton,10,205.18,11,33,33%,11,26,42%,1,2,50%,21,11,1,1,27,28,13,11,30,34,MAG
R. Herndon,7,68.53,9,22,41%,0,6,0%,0,0,0%,3,2,0,5,10,15,5,4,-16,18,MAG
R. Reavis,10,147.78,8,20,40%,0,0,0%,9,12,75%,2,1,2,15,25,40,17,4,29,25,MAG
M. Abundo,5,24.6,3,9,33%,1,5,20%,1,2,50%,1,0,0,1,2,3,2,3,13,8,MAG
K. Pascual,3,17.78,2,7,29%,0,0,0%,0,0,0%,0,1,1,1,2,3,2,0,-2,4,MAG
R. Brondial,3,14.95,1,6,17%,0,1,0%,0,0,0%,1,0,0,5,4,9,1,2,-5,2,MAG
R. Gamalinda,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
M. Calisaan,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
