PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Durham,11,40.08,10.27,19.45,53%,1.45,3.36,43%,7.64,10.18,75%,6.27,0.82,1.0,4.27,10.36,14.64,2.09,3.18,12.0,29.64,MER
R. Almazan,11,33.24,5.82,13.09,44%,0.45,2.27,20%,2.45,3.91,63%,1.0,0.45,1.18,5.27,6.82,12.09,2.82,1.82,13.64,14.55,MER
A. Maliksi,4,18.39,2.75,8.0,34%,0.5,4.0,13%,0.75,0.75,100%,1.25,0.25,0.5,1.25,2.5,3.75,2.5,0.5,6.75,6.75,MER
K. Quinto,11,24.37,2.55,5.36,47%,0.91,2.36,38%,0.73,1.18,62%,1.91,0.55,0.0,0.73,1.27,2.0,2.55,1.0,6.82,6.73,MER
N. Canaleta,4,7.96,2.0,4.25,47%,1.25,3.0,42%,1.0,1.0,100%,0.5,0.25,0.5,0.0,0.25,0.25,1.0,0.25,0.75,6.25,MER
A. Caram,11,17.02,2.45,4.82,51%,0.45,1.09,42%,0.36,0.55,67%,1.73,0.73,0.09,0.36,0.55,0.91,1.55,0.36,2.0,5.73,MER
N. Pinto,11,16.41,1.91,4.27,45%,0.82,2.36,35%,0.09,0.18,50%,1.82,1.09,0.0,0.91,1.18,2.09,1.73,0.45,-0.82,4.73,MER
B. Faundo,11,10.06,1.82,3.91,47%,0.0,0.0,0%,0.18,0.36,50%,0.27,0.18,0.18,0.45,1.55,2.0,2.0,0.64,-1.64,3.82,MER
R. Hugnatan,10,7.37,0.9,2.7,33%,0.4,1.5,27%,0.5,0.5,100%,0.4,0.0,0.3,0.5,1.2,1.7,0.7,0.2,-0.9,2.7,MER
N. Salva,8,9.73,1.0,2.63,38%,0.25,0.88,29%,0.25,0.25,100%,0.25,0.13,0.13,0.25,0.75,1.0,0.5,0.25,0.38,2.5,MER
R. de Ocampo,3,2.13,0.33,0.67,50%,0.0,0.0,0%,0.67,0.67,100%,0.0,0.0,0.0,0.33,0.33,0.67,1.0,0.0,-3.67,1.33,MER
T. Jackson,8,3.29,0.13,0.5,25%,0.0,0.38,0%,0.0,0.0,0%,0.38,0.0,0.0,0.0,0.38,0.38,0.88,0.25,-1.88,0.25,MER
C. Hodge,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
C. Newsome,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
B. Amer,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
G. Espinas,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
M. Tolomia,3,2.66,0.0,1.0,0%,0.0,1.0,0%,0.0,0.0,0%,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,-3.67,0.0,MER
R. Jose,4,1.29,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.25,-0.75,0.0,MER
