PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Qualls,5,45.11,12.2,29.2,42%,2.0,8.8,23%,7.2,10.4,69%,3.6,2.2,1.8,4.4,9.0,13.4,2.6,4.0,1.8,33.6,NOR
C. Standhardinger,5,44.33,9.2,17.6,52%,0.0,0.0,0%,4.6,7.6,61%,3.8,1.0,0.0,4.6,7.4,12.0,3.0,2.2,1.8,23.0,NOR
M. Ammons,6,38.03,7.67,13.67,56%,0.33,1.0,33%,3.17,7.0,45%,2.17,1.33,1.0,6.0,7.5,13.5,3.5,3.0,0.33,18.83,NOR
R. Bolick,7,33.11,3.71,10.43,36%,1.29,5.86,22%,4.14,5.0,83%,6.0,0.29,0.71,0.71,4.29,5.0,2.57,2.14,-0.14,12.86,NOR
M. Tautuaa,6,30.4,4.0,10.33,39%,1.17,4.67,25%,2.17,2.5,87%,2.33,0.83,0.5,1.67,7.17,8.83,4.0,3.17,-7.67,11.33,NOR
S. Anthony,7,30.27,3.86,10.43,37%,1.71,4.86,35%,1.86,2.29,81%,5.29,2.43,0.43,1.0,4.57,5.57,3.57,1.86,2.86,11.29,NOR
K. Ferrer,11,28.04,3.18,7.73,41%,2.64,6.18,43%,1.0,1.45,69%,2.27,0.55,0.73,0.91,3.27,4.18,3.18,1.18,-1.73,10.0,NOR
G. Lanete,11,18.76,2.91,6.82,43%,1.73,4.09,42%,0.64,0.73,88%,0.45,0.45,0.36,0.18,0.91,1.09,1.64,0.27,-1.45,8.18,NOR
J. Elorde,11,21.7,1.64,5.91,28%,0.55,2.64,21%,1.27,1.64,78%,4.0,0.82,0.0,0.82,2.09,2.91,2.82,2.18,0.55,5.09,NOR
J. Cruz,10,10.65,1.7,3.6,47%,0.0,0.4,0%,1.3,1.4,93%,0.2,0.0,0.0,0.7,1.9,2.6,0.9,0.4,-0.5,4.7,NOR
S. Mercado,9,14.76,1.67,4.11,41%,0.0,1.11,0%,0.67,1.33,50%,0.89,0.56,0.0,0.22,1.33,1.56,1.44,1.0,-7.22,4.0,NOR
R. Escoto,10,9.01,1.1,2.4,46%,0.6,0.9,67%,0.4,0.5,80%,0.3,0.2,0.1,0.6,2.1,2.7,1.9,0.2,-0.5,3.2,NOR
J. King,10,8.9,0.9,2.9,31%,0.3,1.1,27%,0.2,0.4,50%,0.6,0.3,0.2,0.7,0.8,1.5,0.8,0.2,-1.5,2.3,NOR
P. Taha,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOR
R. Arana,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOR
B. Guinto,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOR
J. Grey,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOR
