PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Qualls,5,225.55,61,146,42%,10,44,23%,36,52,69%,18,11,9,22,45,67,13,20,9,168,NOR
C. Standhardinger,5,221.65,46,88,52%,0,0,0%,23,38,61%,19,5,0,23,37,60,15,11,9,115,NOR
M. Ammons,6,228.18,46,82,56%,2,6,33%,19,42,45%,13,8,6,36,45,81,21,18,2,113,NOR
R. Bolick,7,231.75,26,73,36%,9,41,22%,29,35,83%,42,2,5,5,30,35,18,15,-1,90,NOR
M. Tautuaa,6,182.4,24,62,39%,7,28,25%,13,15,87%,14,5,3,10,43,53,24,19,-46,68,NOR
S. Anthony,7,211.87,27,73,37%,12,34,35%,13,16,81%,37,17,3,7,32,39,25,13,20,79,NOR
K. Ferrer,11,308.4,35,85,41%,29,68,43%,11,16,69%,25,6,8,10,36,46,35,13,-19,110,NOR
G. Lanete,11,206.32,32,75,43%,19,45,42%,7,8,88%,5,5,4,2,10,12,18,3,-16,90,NOR
J. Elorde,11,238.73,18,65,28%,6,29,21%,14,18,78%,44,9,0,9,23,32,31,24,6,56,NOR
J. Cruz,10,106.48,17,36,47%,0,4,0%,13,14,93%,2,0,0,7,19,26,9,4,-5,47,NOR
S. Mercado,9,132.88,15,37,41%,0,10,0%,6,12,50%,8,5,0,2,12,14,13,9,-65,36,NOR
R. Escoto,10,90.1,11,24,46%,6,9,67%,4,5,80%,3,2,1,6,21,27,19,2,-5,32,NOR
J. King,10,88.95,9,29,31%,3,11,27%,2,4,50%,6,3,2,7,8,15,8,2,-15,23,NOR
P. Taha,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
R. Arana,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
B. Guinto,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
J. Grey,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NOR
