PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Gee,4,178.15,44,101,44%,7,21,33%,31,38,82%,10,13,3,11,29,40,8,15,-17,126,PHX
E. Phelps,7,286.18,70,143,49%,1,9,11%,58,106,55%,39,5,10,44,64,108,20,20,-27,199,PHX
M. Wright,9,280.17,65,145,45%,26,65,40%,20,31,65%,38,10,0,10,18,28,20,31,-45,176,PHX
J. Perkins,11,332.07,44,90,49%,6,14,43%,18,20,90%,16,7,2,20,50,70,44,11,-4,112,PHX
A. Mallari,11,297.5,43,97,44%,8,34,24%,7,10,70%,29,15,4,11,27,38,33,23,-13,101,PHX
R. Jazul,11,273.88,30,86,35%,17,53,32%,10,12,83%,25,10,0,17,25,42,18,17,-63,87,PHX
R. Garcia,10,234.53,33,75,44%,8,29,28%,2,6,33%,20,4,3,5,18,23,16,14,-14,76,PHX
J. Chua,11,222.95,32,83,39%,1,5,20%,10,13,77%,5,9,11,12,21,33,33,9,-50,75,PHX
J. Napoles,10,173.87,21,42,50%,3,10,30%,7,12,58%,3,6,4,18,18,36,28,4,-16,52,PHX
J. Intal,5,64.4,8,18,44%,4,10,40%,2,2,100%,4,0,1,7,12,19,7,3,-6,22,PHX
M. Gamboa,4,36.57,7,11,64%,0,0,0%,3,4,75%,3,1,0,1,3,4,3,2,4,17,PHX
D. Marcelo,9,89.7,11,22,50%,1,4,25%,5,8,63%,5,7,7,7,12,19,21,10,1,28,PHX
R. Guevarra,1,6.98,1,2,50%,1,2,50%,0,0,0%,0,0,0,0,0,0,1,0,-11,3,PHX
R. Dennison,5,23.1,5,7,71%,1,1,100%,1,2,50%,2,1,0,3,3,6,2,0,-8,12,PHX
D. Potts,7,62.9,6,16,38%,2,9,22%,0,1,0%,6,0,0,1,2,3,2,3,11,14,PHX
D. Kramer,9,92.85,4,15,27%,0,0,0%,5,6,83%,6,1,0,11,20,31,22,5,-52,13,PHX
L. Revilla,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
W. Wilson,2,9.2,0,0,0%,0,0,0%,0,0,0%,1,0,0,0,0,0,0,0,-10,0,PHX
J. Mendoza,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,PHX
